run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T060438Z,probe_random_edits,none,1,123393401,1,3,3.0017,48,2.09374,0.70015,1.39359,0.76924,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.33063, ""eig_by_target"": {""0"": 0.66052, ""1"": 1.16157, ""2"": 0.0366, ""3"": 1.33063, ""4"": 0.49675}}"
20260820T060438Z,probe_random_edits,none,1,123393401,2,1,3.5703,48,0.70015,0.85063,-0.15048,0.65472,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.02723, ""eig_by_target"": {""0"": -0.0024, ""1"": 0.02723}}"
20260820T060438Z,probe_skel_only,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260820T060438Z,probe_skel_only,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T060438Z,probe_random_edits_noreserve,none,1,123393401,1,3,3.0017,48,2.13337,0.69315,1.44022,0.5,0.92308,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.35867, ""eig_by_target"": {""0"": 1.15307, ""1"": 1.23128, ""2"": 0.03651, ""3"": 1.35867, ""4"": 0.76557}}"
20260820T060438Z,probe_random_edits_noreserve,none,1,123393401,2,1,3.5703,48,0.69315,0.59708,0.09606,0.71558,0.92308,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.0781, ""eig_by_target"": {""0"": 0.0476, ""1"": 0.0781}}"
20260820T060438Z,probe_oracle_edits,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260820T060438Z,probe_oracle_edits,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T060438Z,probe_oracle_edits_noreserve,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260820T060438Z,probe_oracle_edits_noreserve,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T060438Z,probe_noreserve,gpt-4o-mini-2024-07-18,1,123393401,1,3,3.0017,48,1.45733,0.0,1.45733,1.0,0.92308,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.22058, ""eig_by_target"": {""0"": 0.53521, ""1"": 1.16852, ""2"": 0.056, ""3"": 1.22058, ""4"": 0.44731}}"
20260820T060438Z,probe_noreserve,qwen3-coder-30b-a3b-instruct,1,123393401,1,3,3.0017,48,3.01671,1.3666,1.65011,0.30093,0.92308,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.0443, ""eig_by_target"": {""0"": 1.38216, ""1"": 1.81904, ""2"": 0.17431, ""3"": 2.0443, ""4"": 1.81684}}"
