arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.839382,0.141909,0.777188,0.901577,0.816667,0.284792,0.691851,0.941482,0.889615,0.079242,0.854886,0.924345,1.55,1.276302,0.990636,2.109364,0.75,0.219649,0.653735,0.846265,2.15,0.67082,1.856,2.444,2.15,0.67082,1.856,2.444,48.0,0.0,48.0,48.0,0.3,0.470162,0.093942,0.506058,0.916911,0.068825,0.886748,0.947075,-0.3,1.128576,-0.79462,0.19462,2.45185,0.481026,2.241032,2.662669,0.091038,0.183399,0.01066,0.171416,0.964794,0.092415,0.924291,1.005297,,,,,,,,,0.886667,0.079699,0.851737,0.921596,830.3,1.838191,829.494377,831.105623,100.4,14.755552,93.933094,106.866906,930.7,14.807893,924.210155,937.189845,0.000185,9e-06,0.000181,0.000189,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.61735,1.49825,2.960713,4.273987,3.4,0.598243,3.137808,3.662192,3.1,1.071153,2.630547,3.569453,0.05,0.223607,-0.048,0.148,0.4,0.502625,0.179715,0.620285
probe,gpt-4o-mini-2024-07-18,2,20,20,0,0.796197,0.129417,0.739478,0.852917,0.753611,0.217432,0.658317,0.848905,0.853796,0.073433,0.821612,0.885979,2.65,1.496487,1.994136,3.305864,0.741667,0.205729,0.651502,0.831832,2.3,0.656947,2.01208,2.58792,2.3,0.656947,2.01208,2.58792,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.850774,0.093394,0.809842,0.891705,-0.9,0.447214,-1.096,-0.704,2.578515,0.627178,2.303642,2.853389,0.101577,0.22158,0.004466,0.198689,0.963137,0.090819,0.923334,1.00294,,,,,,,,,0.858343,0.067056,0.828954,0.887731,1129.35,2.254236,1128.362038,1130.337962,92.35,19.591284,83.763741,100.936259,1221.7,19.855001,1212.998162,1230.401838,0.000206,3.6e-05,0.00019,0.000221,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.7877,1.17379,3.273264,4.302136,3.75,0.444262,3.555294,3.944706,2.75,1.164158,2.239785,3.260215,0.15,0.366348,-0.010559,0.310559,0.4,0.598243,0.137808,0.662192
probe,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.795501,0.193726,0.710597,0.880405,0.785,0.291083,0.657427,0.912573,0.87831,0.08734,0.840032,0.916588,1.85,1.565248,1.164,2.536,0.716667,0.203047,0.627677,0.805656,2.3,0.656947,2.01208,2.58792,2.3,0.656947,2.01208,2.58792,48.0,0.0,48.0,48.0,0.3,0.470162,0.093942,0.506058,0.905758,0.08688,0.867681,0.943834,-0.15,1.496487,-0.805864,0.505864,2.375423,0.676322,2.079012,2.671834,0.190916,0.314004,0.053297,0.328534,0.936841,0.110012,0.888626,0.985056,,,,,,,,,0.886667,0.079699,0.851737,0.921596,1259.75,3.462202,1258.232623,1261.267377,303.1,274.376978,182.848987,423.351013,1562.85,273.306898,1443.067971,1682.632029,0.000812,0.000401,0.000636,0.000987,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.7232,2.52374,3.617122,5.829278,2.95,1.050063,2.48979,3.41021,3.4,0.820783,3.040276,3.759724,0.1,0.307794,-0.034896,0.234896,0.45,0.510418,0.2263,0.6737
probe,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.817798,0.139806,0.756525,0.87907,0.790851,0.201826,0.702397,0.879305,0.87125,0.083061,0.834847,0.907653,2.3,1.559352,1.616584,2.983416,0.766667,0.22556,0.667811,0.865523,2.25,0.444262,2.055294,2.444706,2.25,0.444262,2.055294,2.444706,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.856914,0.100357,0.81293,0.900897,-0.9,0.447214,-1.096,-0.704,2.672514,0.73598,2.349957,2.995072,0.25476,0.461971,0.052292,0.457227,0.885133,0.230328,0.784187,0.986079,,,,,,,,,0.858343,0.067056,0.828954,0.887731,1663.35,6.761151,1660.386795,1666.313205,340.2,179.60061,261.486562,418.913438,2003.55,181.700875,1923.916081,2083.183919,0.000984,0.000263,0.000869,0.001099,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0751,1.621375,4.364501,5.785699,3.45,0.825578,3.088175,3.811825,3.5,0.888523,3.110587,3.889413,0.15,0.366348,-0.010559,0.310559,0.45,0.510418,0.2263,0.6737
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,20,0,0.839592,0.110395,0.791209,0.887975,0.855238,0.25796,0.742182,0.968294,0.864592,0.082546,0.828415,0.90077,1.75,1.069924,1.281085,2.218915,0.758333,0.212717,0.665106,0.851561,2.25,0.638666,1.970092,2.529908,2.25,0.638666,1.970092,2.529908,48.0,0.0,48.0,48.0,0.15,0.366348,-0.010559,0.310559,0.864592,0.082546,0.828414,0.90077,-0.7,0.732695,-1.021118,-0.378882,2.330904,0.508885,2.107875,2.553933,0.115435,0.302601,-0.017186,0.248056,0.938456,0.170008,0.863946,1.012965,,,,,,,,,0.886667,0.079699,0.851737,0.921596,830.3,1.838191,829.494377,831.105623,100.4,14.755552,93.933094,106.866906,930.7,14.807893,924.210155,937.189845,0.000185,9e-06,0.000181,0.000189,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.71515,1.763976,1.942053,3.488247,3.4,0.598243,3.137808,3.662192,3.1,1.071153,2.630547,3.569453,0.05,0.223607,-0.048,0.148,0.4,0.502625,0.179715,0.620285
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,20,0,0.768004,0.12338,0.71393,0.822078,0.753611,0.217432,0.658317,0.848905,0.823936,0.072067,0.792351,0.85552,3.2,1.472556,2.554624,3.845376,0.75,0.19868,0.662925,0.837075,2.3,0.732695,1.978882,2.621118,2.3,0.732695,1.978882,2.621118,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.81091,0.095442,0.769081,0.85274,-1.0,0.0,-1.0,-1.0,2.47388,0.645195,2.191111,2.756649,0.179808,0.300234,0.048225,0.311391,0.901612,0.177647,0.823755,0.979469,,,,,,,,,0.858343,0.067056,0.828954,0.887731,1129.35,2.254236,1128.362038,1130.337962,92.35,19.591284,83.763741,100.936259,1221.7,19.855001,1212.998162,1230.401838,0.000206,3.6e-05,0.00019,0.000221,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.21385,1.263421,2.660131,3.767569,3.75,0.444262,3.555294,3.944706,2.75,1.164158,2.239785,3.260215,0.15,0.366348,-0.010559,0.310559,0.4,0.598243,0.137808,0.662192
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.794044,0.170424,0.719353,0.868736,0.823571,0.269699,0.70537,0.941772,0.863893,0.082083,0.827918,0.899867,2.0,1.297771,1.431227,2.568773,0.733333,0.212201,0.640332,0.826334,2.2,0.695852,1.895029,2.504971,2.2,0.695852,1.895029,2.504971,48.0,0.0,48.0,48.0,0.15,0.366348,-0.010559,0.310559,0.844802,0.10334,0.799511,0.890093,-0.7,0.732695,-1.021118,-0.378882,2.342264,0.698306,2.036217,2.64831,0.090595,0.257915,-0.022441,0.203631,0.95532,0.138831,0.894475,1.016165,,,,,,,,,0.886667,0.079699,0.851737,0.921596,1259.75,3.462202,1258.232623,1261.267377,303.1,274.376978,182.848987,423.351013,1562.85,273.306898,1443.067971,1682.632029,0.000812,0.000401,0.000636,0.000987,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5813,2.662277,2.414506,4.748094,2.95,1.050063,2.48979,3.41021,3.4,0.820783,3.040276,3.759724,0.1,0.307794,-0.034896,0.234896,0.45,0.510418,0.2263,0.6737
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.791401,0.131025,0.733976,0.848825,0.790851,0.201826,0.702397,0.879305,0.835616,0.086337,0.797777,0.873455,2.9,1.618967,2.190457,3.609543,0.75,0.19868,0.662925,0.837075,2.35,0.67082,2.056,2.644,2.35,0.67082,2.056,2.644,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.824377,0.106521,0.777692,0.871061,-1.0,0.0,-1.0,-1.0,2.624445,0.77375,2.285334,2.963555,0.33282,0.445779,0.137448,0.528191,0.831346,0.219306,0.735231,0.927461,,,,,,,,,0.858343,0.067056,0.828954,0.887731,1663.35,6.761151,1660.386795,1666.313205,340.2,179.60061,261.486562,418.913438,2003.55,181.700875,1923.916081,2083.183919,0.000984,0.000263,0.000869,0.001099,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.3105,1.758214,3.539929,5.081071,3.45,0.825578,3.088175,3.811825,3.5,0.888523,3.110587,3.889413,0.15,0.366348,-0.010559,0.310559,0.45,0.510418,0.2263,0.6737
probe_oracle_edits,none,1,20,20,0,0.977972,0.064423,0.949737,1.006207,0.99,0.044721,0.9704,1.0096,0.987063,0.031705,0.973168,1.000958,0.2,0.523148,-0.02928,0.42928,0.858333,0.224748,0.759833,0.956834,1.9,0.447214,1.704,2.096,1.9,0.447214,1.704,2.096,48.0,0.0,48.0,48.0,0.95,0.223607,0.852,1.048,0.996154,0.017201,0.988615,1.003692,1.05,0.686333,0.749201,1.350799,2.057117,0.570359,1.807146,2.307089,7e-06,3.4e-05,-7e-06,2.2e-05,1.0,2e-06,0.999999,1.0,,,,,,,,,0.886667,0.079699,0.851737,0.921596,,,,,,,,,,,,,,,,,,,,,,,,,0.66815,0.388984,0.49767,0.83863,0.1,0.307794,-0.034896,0.234896,1.1,0.718185,0.785242,1.414758,0.1,0.307794,-0.034896,0.234896,1.1,0.718185,0.785242,1.414758
probe_oracle_edits,none,2,20,20,0,0.9875,0.055902,0.963,1.012,0.978571,0.095831,0.936571,1.020571,0.99375,0.027951,0.9815,1.006,0.15,0.67082,-0.144,0.444,0.933333,0.165787,0.860674,1.005993,1.85,0.48936,1.635528,2.064472,1.85,0.48936,1.635528,2.064472,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.05,0.223607,0.952,1.148,2.165341,0.655335,1.878127,2.452554,8e-05,0.000356,-7.6e-05,0.000235,0.999992,3.6e-05,0.999976,1.000008,,,,,,,,,0.858343,0.067056,0.828954,0.887731,,,,,,,,,,,,,,,,,,,,,,,,,0.86875,0.395293,0.695505,1.041995,0.35,0.48936,0.135528,0.564472,1.7,0.732695,1.378882,2.021118,0.35,0.48936,0.135528,0.564472,1.7,0.732695,1.378882,2.021118
