run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T064748Z,2026-08-20T06:47:48.276783+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,1.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,4,1,1.43599,0.0,1.0,,,,,,,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T064748Z,2026-08-20T06:47:48.276385+00:00,study2,probe_noreserve,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,1.718,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.55483,1e-05,1.0,,,0,,4,2,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:48.274872+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,1.905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.59763,0.00093,0.99991,,,0,,4,2,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:48.274432+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,1.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.91122,0.85128,0.65468,,,0,,2,3,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:48.276884+00:00,study2,probe_random_edits,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,1.919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,3.02208,0.7475,0.76767,,,,,4,4,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T064748Z,2026-08-20T06:47:48.275332+00:00,study2,probe_noreserve,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,1.933,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,3.01671,0.59879,0.71544,,,0,,2,3,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:49.980956+00:00,study2,probe_random_edits_noreserve,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.401,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,0,0,0.923077,-1,-1,3.30846,1.35742,0.35096,,,,,4,4,,1.0,3,3,0.0,0,0,,,,,,,,,
20260820T064748Z,2026-08-20T06:47:50.142178+00:00,study2,probe_oracle_edits,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,4,1,1.43599,0.0,1.0,,,,,0,0,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T064748Z,2026-08-20T06:47:50.241278+00:00,study2,probe_oracle_edits_noreserve,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,4,1,1.43599,0.0,1.0,,,,,0,0,,1.0,3,3,0.0,0,0,,,,,,,,,
20260820T064748Z,2026-08-20T06:47:50.395806+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,60,60,2,1,6,4,success,,0.11,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,0.5,2,1,6,0,2,48,48,0,0.909091,-1,-1,2.19349,0.0,1.0,,,0,,4,4,1,0.909091,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:50.505867+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,60,60,2,1,6,4,success,,0.085,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,1.0,1,1,6,0,1,48,48,0,0.909091,-1,-1,1.65822,0.0,1.0,,,0,,3,4,1,0.909091,5,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:50.591495+00:00,study2,probe_noreserve,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,60,60,2,1,6,4,success,,0.108,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,0.5,2,1,6,0,2,48,48,0,0.833333,-1,-1,2.19365,0.0,1.0,,,0,,4,4,1,0.909091,5,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:50.699899+00:00,study2,probe_noreserve,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,60,60,2,1,6,4,success,,0.084,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,1.0,1,1,6,0,1,48,48,0,0.833333,-1,-1,1.65791,0.0,1.0,,,0,,3,4,1,0.909091,5,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T064748Z,2026-08-20T06:47:50.784219+00:00,study2,probe_skel_only,,none,1,295485567,2954855670108,6,6,60,60,2,1,6,4,success,,0.057,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,0,0,0.909091,-1,-1,1.79221,0.0,1.0,,,,,,,,0.909091,5,0,0.5,0,0,,,,,,,,,
