arm,model_tag,level,n,directed_f1,truth_in_hypotheses
oracle,none,1,20,1.000 ±0.000,—
oracle,none,2,20,1.000 ±0.000,—
pc_greedy_meek,none,1,20,0.703 ±0.059,—
pc_greedy_meek,none,2,20,0.701 ±0.069,—
probe,gpt-4o-mini-2024-07-18,1,20,0.794 ±0.077,0.200 ±0.180
probe,gpt-4o-mini-2024-07-18,2,20,0.744 ±0.066,0.050 ±0.098
probe,qwen3-coder-30b-a3b-instruct,1,20,0.807 ±0.065,0.150 ±0.161
probe,qwen3-coder-30b-a3b-instruct,2,20,0.742 ±0.077,0.050 ±0.098
probe_oracle_edits,none,1,20,0.982 ±0.028,1.000 ±0.000
probe_oracle_edits,none,2,20,0.958 ±0.050,0.900 ±0.135
probe_random_edits,none,1,20,0.737 ±0.084,0.050 ±0.098
probe_random_edits,none,2,20,0.741 ±0.079,0.100 ±0.135
probe_skel_only,none,1,20,0.775 ±0.053,0.050 ±0.098
probe_skel_only,none,2,20,0.770 ±0.055,0.050 ±0.098
