arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00585,0.00752,0.002554,0.009146,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00335,0.001785,0.002568,0.004132,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.703182,0.134935,0.644044,0.76232,0.671905,0.31747,0.532767,0.811042,0.813636,0.090148,0.774127,0.853146,2.45,0.825578,2.088175,2.811825,0.908333,0.190989,0.824629,0.992038,1.5,0.760886,1.166527,1.833473,1.5,0.760886,1.166527,1.833473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813636,0.090148,0.774127,0.853146,,,,,,,,,,,,,,,,,,,,,,,,,0.3428,1.312232,-0.232311,0.917911,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.701245,0.15824,0.631894,0.770597,0.640873,0.223257,0.543026,0.73872,0.80619,0.105704,0.759864,0.852517,3.35,1.565248,2.664,4.036,0.841667,0.226045,0.742598,0.940735,1.8,0.615587,1.530207,2.069793,1.8,0.615587,1.530207,2.069793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806191,0.105703,0.759864,0.852517,,,,,,,,,,,,,,,,,,,,,,,,,0.0683,0.04769,0.047399,0.089201,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.793636,0.175812,0.716583,0.870689,0.773095,0.297723,0.642612,0.903578,0.830909,0.103711,0.785456,0.876362,1.95,1.431782,1.322494,2.577506,0.775,0.218146,0.679393,0.870607,2.05,0.759155,1.717286,2.382714,2.05,0.759155,1.717286,2.382714,48.0,0.0,48.0,48.0,0.2,0.410391,0.020138,0.379862,0.855152,0.093061,0.814366,0.895937,-0.55,0.944513,-0.963951,-0.136049,2.077502,0.701473,1.770068,2.384937,0.101434,0.239629,-0.003588,0.206456,0.968402,0.078603,0.933953,1.002851,,,,,,,,,0.813636,0.090148,0.774127,0.853146,830.3,1.838191,829.494377,831.105623,97.05,15.578241,90.222535,103.877465,927.35,16.464555,920.134091,934.565909,0.000183,9e-06,0.000179,0.000187,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.8148,1.277631,2.254854,3.374746,3.25,0.55012,3.008899,3.491101,3.05,1.316894,2.472846,3.627154,0.05,0.223607,-0.048,0.148,0.6,0.753937,0.269573,0.930427
probe,gpt-4o-mini-2024-07-18,2,20,20,0,0.74435,0.149693,0.678744,0.809955,0.715119,0.16546,0.642603,0.787635,0.812505,0.101092,0.768199,0.85681,3.1,1.586124,2.40485,3.79515,0.741667,0.205729,0.651502,0.831832,2.25,0.71635,1.936046,2.563954,2.25,0.71635,1.936046,2.563954,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.814652,0.111732,0.765683,0.863621,-0.9,0.447214,-1.096,-0.704,2.400687,0.752421,2.070924,2.73045,0.130868,0.275751,0.010015,0.251721,0.93657,0.148426,0.871519,1.001621,,,,,,,,,0.806191,0.105703,0.759864,0.852517,1129.35,2.254236,1128.362038,1130.337962,102.45,16.778668,95.096425,109.803575,1231.8,16.152562,1224.720828,1238.879172,0.000223,2.6e-05,0.000212,0.000234,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.92615,0.363789,2.766713,3.085587,3.7,0.470162,3.493942,3.906058,2.7,1.128576,2.20538,3.19462,0.05,0.223607,-0.048,0.148,0.55,0.686333,0.249201,0.850799
probe,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.806515,0.147966,0.741666,0.871364,0.808571,0.249384,0.699274,0.917869,0.842879,0.10467,0.797005,0.888752,1.85,1.268028,1.294262,2.405738,0.808333,0.224748,0.709833,0.906834,1.9,0.718185,1.585242,2.214758,1.9,0.718185,1.585242,2.214758,48.0,0.0,48.0,48.0,0.15,0.366348,-0.010559,0.310559,0.86197,0.09599,0.8199,0.904039,-0.6,1.046297,-1.05856,-0.14144,2.064047,0.744143,1.737912,2.390182,0.140543,0.250312,0.030839,0.250247,0.939119,0.128797,0.882671,0.995567,,,,,,,,,0.813636,0.090148,0.774127,0.853146,1259.75,3.462202,1258.232623,1261.267377,254.25,53.154071,230.954201,277.545799,1514.0,52.667777,1490.917329,1537.082671,0.00074,7.8e-05,0.000706,0.000774,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.55815,1.530982,2.887168,4.229132,2.6,0.994723,2.164043,3.035957,3.35,0.933302,2.940962,3.759038,0.05,0.223607,-0.048,0.148,0.7,0.656947,0.41208,0.98792
probe,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.742491,0.175636,0.665515,0.819467,0.710812,0.23467,0.607963,0.81366,0.81978,0.098262,0.776715,0.862845,3.05,1.761429,2.27802,3.82198,0.783333,0.210124,0.691242,0.875424,2.2,0.695852,1.895029,2.504971,2.2,0.695852,1.895029,2.504971,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.811868,0.10872,0.76422,0.859517,-0.9,0.447214,-1.096,-0.704,2.522276,0.764194,2.187353,2.857199,0.200607,0.349254,0.04754,0.353675,0.908221,0.174861,0.831585,0.984857,,,,,,,,,0.806191,0.105703,0.759864,0.852517,1663.35,6.761151,1660.386795,1666.313205,325.6,131.63962,267.906393,383.293607,1988.95,130.583498,1931.719259,2046.180741,0.000963,0.000192,0.000878,0.001047,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.24445,1.282051,3.682566,4.806334,3.3,1.080935,2.826259,3.773741,3.45,0.944513,3.036049,3.863951,0.1,0.307794,-0.034896,0.234896,0.65,0.67082,0.356,0.944
probe_oracle_edits,none,1,20,20,0,0.981818,0.063259,0.954094,1.009543,0.99,0.044721,0.9704,1.0096,0.990909,0.027981,0.978646,1.003172,0.15,0.48936,-0.064472,0.364472,0.858333,0.224748,0.759833,0.956834,1.9,0.447214,1.704,2.096,1.9,0.447214,1.704,2.096,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.15,0.48936,0.935528,1.364472,1.98276,0.446043,1.787273,2.178246,1.5e-05,4.5e-05,-5e-06,3.4e-05,0.999999,3e-06,0.999998,1.0,,,,,,,,,0.813636,0.090148,0.774127,0.853146,,,,,,,,,,,,,,,,,,,,,,,,,0.6648,1.355737,0.070622,1.258978,0.05,0.223607,-0.048,0.148,1.8,0.767772,1.463509,2.136491,0.05,0.223607,-0.048,0.148,1.8,0.767772,1.463509,2.136491
probe_oracle_edits,none,2,20,20,0,0.958036,0.11372,0.908196,1.007876,0.94,0.165999,0.867248,1.012752,0.971429,0.087941,0.932887,1.00997,0.5,1.395481,-0.111597,1.111597,0.958333,0.131066,0.900891,1.015776,1.8,0.523148,1.57072,2.02928,1.8,0.523148,1.57072,2.02928,48.0,0.0,48.0,48.0,0.9,0.307794,0.765104,1.034896,0.966484,0.104402,0.920728,1.01224,0.85,0.67082,0.556,1.144,2.10903,0.557481,1.864703,2.353357,0.010221,0.045707,-0.009812,0.030253,0.997399,0.011632,0.992301,1.002497,,,,,,,,,0.806191,0.105703,0.759864,0.852517,,,,,,,,,,,,,,,,,,,,,,,,,0.53175,0.246369,0.423774,0.639726,0.2,0.410391,0.020138,0.379862,2.4,1.046297,1.94144,2.85856,0.2,0.410391,0.020138,0.379862,2.4,1.046297,1.94144,2.85856
