run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T065428Z,pc_greedy_meek,none,1,123393401,1,1,3.5703,,,,,,0.8,,2,1,
20260820T065428Z,pc_greedy_meek,none,1,123393401,2,0,2.7078,,,,,,0.90909,,1,0,
20260820T065428Z,probe_oracle_edits,none,1,123393401,1,3,3.0017,48,1.43599,0.0,1.43599,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.08941, ""eig_by_target"": {""0"": 0.61203, ""1"": 0.91613, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.5176}}"
20260820T065428Z,probe_skel_only,none,1,123393401,1,1,3.5703,30,1.62401,0.69315,0.93086,0.5,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.34864, ""eig_by_target"": {""0"": 0.59297, ""1"": 1.34864, ""2"": 0.32477, ""3"": 1.27744, ""4"": 0.86499}}"
20260820T065428Z,probe_skel_only,none,1,123393401,2,0,2.7078,30,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T065428Z,probe_mec_only,none,1,123393401,1,1,3.5703,4,1.38629,0.69315,0.69315,0.5,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09748, ""eig_by_target"": {""0"": 0.47078, ""1"": 1.09748, ""3"": 1.03972, ""4"": 0.47078}}"
20260820T065428Z,probe_mec_only,none,1,123393401,2,0,2.7078,4,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,0,2.7078,48,1.38568,1.55152,-0.16583,0.29395,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38049, ""eig_by_target"": {""0"": 1.38049, ""1"": 0.88905, ""2"": 1.09006, ""3"": 0.92357, ""4"": 0.83071, ""5"": 0.71803}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,1,3.5703,48,1.55152,0.66049,0.89103,0.63183,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.37162, ""eig_by_target"": {""1"": 1.37162, ""3"": 0.74292, ""4"": 0.80435, ""5"": 0.25999}}"
20260820T065428Z,probe_random_edits,none,1,123393401,1,1,3.5703,48,3.07947,1.5029,1.57657,0.37876,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.80252, ""eig_by_target"": {""0"": 1.1032, ""1"": 1.80252, ""2"": 0.16606, ""3"": 1.69515, ""4"": 1.13287, ""5"": 0.24588}}"
20260820T065428Z,probe_random_edits,none,1,123393401,2,3,3.0017,48,1.5029,1.12459,0.3783,0.57878,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.72426, ""eig_by_target"": {""0"": 0.70128, ""3"": 0.72426, ""5"": 0.05925}}"
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,3.00399,1.80449,1.1995,0.33055,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.83017, ""eig_by_target"": {""0"": 1.18748, ""1"": 1.83017, ""2"": 0.72112, ""3"": 1.66284, ""4"": 1.44026, ""5"": 0.52273}}"
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0017,48,1.80449,1.31354,0.49095,0.53224,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.03557, ""eig_by_target"": {""0"": 0.89222, ""2"": 0.16994, ""3"": 1.03557, ""4"": 0.43651, ""5"": 0.16757}}"
20260820T065428Z,pc_greedy_meek,none,1,295485567,1,1,9.6601,,,,,,0.5,,2,2,
20260820T065428Z,pc_greedy_meek,none,1,295485567,2,2,6.056,,,,,,0.8,,2,0,
20260820T065428Z,probe_skel_only,none,1,295485567,1,3,11.7039,16,1.60984,0.69315,0.9167,0.5,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.08998, ""eig_by_target"": {""0"": 0.68565, ""1"": 0.96899, ""2"": 1.06054, ""3"": 1.08998, ""5"": 0.57012}}"
20260820T065428Z,probe_skel_only,none,1,295485567,2,2,6.056,16,0.69315,0.0,0.69315,1.0,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""5"": 0.69315}}"
20260820T065428Z,probe_mec_only,none,1,295485567,1,3,11.7039,5,1.60944,0.69315,0.91629,0.5,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.08958, ""eig_by_target"": {""0"": 0.68524, ""1"": 0.96858, ""2"": 1.06013, ""3"": 1.08958, ""5"": 0.56972}}"
20260820T065428Z,probe_mec_only,none,1,295485567,2,2,6.056,5,0.69315,0.0,0.69315,1.0,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""5"": 0.69315}}"
20260820T065428Z,probe_random_edits,none,1,295485567,1,2,6.056,48,1.79222,0.0,1.79222,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.24291, ""eig_by_target"": {""0"": 0.45102, ""1"": 0.63697, ""2"": 1.24291, ""3"": 0.94429, ""4"": 0.31689, ""5"": 0.3169}}"
20260820T065428Z,probe_oracle_edits,none,1,295485567,1,2,6.056,48,1.61218,0.0,1.61218,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.32337, ""eig_by_target"": {""0"": 0.00275, ""1"": 0.45694, ""2"": 1.32337, ""3"": 1.06288, ""4"": 0.45694, ""5"": 0.34141}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,295485567,1,2,6.056,48,1.46532,0.0,1.46532,1.0,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.40755, ""eig_by_target"": {""0"": 1.11703, ""1"": 0.91602, ""2"": 1.40755, ""3"": 1.23427, ""5"": 0.82361}}"
20260820T065428Z,pc_greedy_meek,none,1,325160078,1,0,5.0109,,,,,,0.44444,,1,1,
20260820T065428Z,pc_greedy_meek,none,1,325160078,2,2,8.4314,,,,,,0.6,,1,0,
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,295485567,1,1,9.6601,48,1.85049,1.09861,0.75188,0.33333,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.48428, ""eig_by_target"": {""0"": 0.50929, ""1"": 1.48428, ""2"": 1.04182, ""3"": 1.25323, ""4"": 0.37517, ""5"": 0.37517}}"
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,295485567,2,2,6.056,48,1.09861,0.0,1.09861,1.0,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""2"": 1.09861, ""3"": 0.69428, ""5"": 0.46323}}"
20260820T065428Z,probe_skel_only,none,1,325160078,1,4,2.7965,16,1.38862,0.69315,0.69547,0.5,0.4,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69547, ""eig_by_target"": {""0"": 0.69537, ""1"": 0.00232, ""2"": 0.69546, ""3"": 0.00232, ""4"": 0.69547, ""5"": 0.69547}}"
20260820T065428Z,probe_skel_only,none,1,325160078,2,2,8.4314,16,0.69315,0.0,0.69315,1.0,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""5"": 0.69315}}"
20260820T065428Z,probe_random_edits,none,1,325160078,1,4,2.7965,48,1.7925,0.00277,1.78973,0.99969,0.36364,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09935, ""eig_by_target"": {""0"": 0.75278, ""2"": 0.69389, ""3"": 0.75278, ""4"": 1.09935, ""5"": 0.69389}}"
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,325160078,1,2,8.4314,48,0.69538,0.69317,0.00222,0.5,0.36364,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69538, ""eig_by_target"": {""0"": 0.00223, ""2"": 0.69538, ""3"": 0.00223, ""4"": 0.00223, ""5"": 0.69538}}"
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,325160078,2,0,5.0109,48,0.69317,0.3149,0.37827,0.90458,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69317, ""eig_by_target"": {""0"": 0.69317, ""3"": 2e-05, ""4"": 0.69317}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,325160078,1,4,2.7965,48,1.7925,0.0,1.7925,1.0,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09935, ""eig_by_target"": {""0"": 0.69502, ""2"": 0.69388, ""3"": 0.75278, ""4"": 1.09935, ""5"": 0.69389}}"
20260820T065428Z,probe_oracle_edits,none,1,325160078,1,4,2.7965,48,1.61244,0.0,1.61244,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38139, ""eig_by_target"": {""0"": 0.34053, ""2"": 0.34165, ""3"": 0.45719, ""4"": 1.38139, ""5"": 0.88003}}"
20260820T065428Z,probe_mec_only,none,1,325160078,1,0,5.0109,4,1.38629,0.69315,0.69315,0.5,0.6,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""2"": 0.69315, ""4"": 0.69315, ""5"": 0.69315}}"
20260820T065428Z,probe_mec_only,none,1,325160078,2,2,8.4314,4,0.69315,0.0,0.69315,1.0,0.6,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""5"": 0.69315}}"
20260820T065428Z,pc_greedy_meek,none,1,1719885688,1,1,3.2164,,,,,,0.8,,1,0,
20260820T065428Z,probe_skel_only,none,1,1719885688,1,1,3.2164,16,0.91581,0.02988,0.88593,0.99583,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.91581, ""eig_by_target"": {""0"": 0.22266, ""1"": 0.91581, ""2"": 0.90942, ""3"": 0.22266, ""5"": 0.22264}}"
20260820T065428Z,probe_skel_only,none,1,1719885688,2,0,5.8847,16,0.02988,0.0,0.02988,1.0,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.02988, ""eig_by_target"": {""0"": 0.02988, ""3"": 0.02988, ""5"": 0.02988}}"
20260820T065428Z,probe_mec_only,none,1,1719885688,1,1,3.2164,2,0.69315,0.0,0.69315,1.0,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315}}"
20260820T065428Z,probe,qwen3-coder-30b-a3b-instruct,1,1719885688,1,1,3.2164,48,1.5399,0.00057,1.53933,0.99995,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.42707, ""eig_by_target"": {""0"": 0.73265, ""1"": 1.42707, ""2"": 1.2776, ""3"": 0.84626, ""4"": 0.71475, ""5"": 0.8385}}"
20260820T065428Z,probe_random_edits,none,1,1719885688,1,1,3.2164,48,1.47213,0.23226,1.23986,0.95035,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.47122, ""eig_by_target"": {""0"": 0.64447, ""1"": 1.47122, ""2"": 1.40217, ""3"": 0.77829, ""4"": 0.67286, ""5"": 0.74389}}"
20260820T065428Z,probe_random_edits,none,1,1719885688,2,5,2.6875,48,0.23226,0.03556,0.19671,0.99422,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.23141, ""eig_by_target"": {""0"": 0.15803, ""3"": 0.23014, ""5"": 0.23141}}"
20260820T065428Z,probe_random_edits,none,1,1719885688,3,3,3.5165,48,0.03556,0.03963,-0.00408,0.99342,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.03556, ""eig_by_target"": {""0"": 0.03555, ""3"": 0.03556}}"
20260820T065428Z,probe_oracle_edits,none,1,1719885688,1,1,3.2164,48,2.07228,0.69316,1.37912,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.4074, ""eig_by_target"": {""0"": 0.87922, ""1"": 1.4074, ""2"": 1.35864, ""3"": 1.14685, ""4"": 0.58076, ""5"": 1.08739}}"
20260820T065428Z,probe_oracle_edits,none,1,1719885688,2,5,2.6875,48,0.69316,0.0,0.69316,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69314, ""5"": 0.69315}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,1719885688,1,1,3.2164,48,2.81389,0.32356,2.49033,0.921,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.23419, ""eig_by_target"": {""0"": 1.85308, ""1"": 2.23419, ""2"": 1.37995, ""3"": 1.65415, ""5"": 1.61542}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,1719885688,2,0,5.8847,48,0.32356,0.67368,-0.35012,0.60514,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.32356, ""eig_by_target"": {""0"": 0.32356, ""1"": 0.2478, ""2"": 0.24475, ""3"": 0.30899, ""5"": 0.32356}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,1719885688,3,3,3.5165,48,0.67368,0.00848,0.6652,0.999,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.57521, ""eig_by_target"": {""1"": 0.00085, ""3"": 0.57521}}"
20260820T065428Z,pc_greedy_meek,none,1,239607114,1,2,2.7404,,,,,,0.54545,,5,0,
20260820T065428Z,probe_skel_only,none,1,239607114,1,2,2.7404,32,1.79416,0.0,1.79416,1.0,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.51951, ""eig_by_target"": {""0"": 0.58667, ""1"": 0.86443, ""2"": 1.51951, ""3"": 0.45297, ""4"": 0.45296, ""5"": 0.75444}}"
20260820T065428Z,probe_random_edits,none,1,239607114,1,2,2.7404,48,3.25872,0.01026,3.24846,0.99869,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.94728, ""eig_by_target"": {""0"": 1.59161, ""1"": 1.72261, ""2"": 1.94728, ""3"": 1.22604, ""4"": 1.5067, ""5"": 1.93213}}"
20260820T065428Z,probe_random_edits,none,1,239607114,2,1,7.3146,48,0.01026,0.0,0.01026,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.01026, ""eig_by_target"": {""1"": 0.01026, ""4"": 0.01026, ""5"": 0.01026}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,239607114,1,1,7.3146,48,2.70524,1.60972,1.09552,0.19999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.70468, ""eig_by_target"": {""0"": 1.43039, ""1"": 1.70468, ""2"": 1.61183, ""3"": 0.66084, ""4"": 0.54066, ""5"": 1.14415}}"
20260820T065428Z,probe,gpt-4o-mini-2024-07-18,1,239607114,2,2,2.7404,48,1.60972,0.0,1.60972,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.32091, ""eig_by_target"": {""0"": 0.57, ""2"": 1.32091, ""3"": 0.33893, ""4"": 0.78576, ""5"": 0.68553}}"
