arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.003095,0.000644,0.003356,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00745,0.013344,0.001602,0.013298,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.737879,0.205211,0.647941,0.827816,0.736429,0.332474,0.590715,0.882142,0.883788,0.089766,0.844446,0.923129,2.1,1.410487,1.481827,2.718173,0.908333,0.190989,0.824629,0.992038,1.45,0.759155,1.117286,1.782714,1.45,0.759155,1.117286,1.782714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883788,0.089766,0.844446,0.923129,,,,,,,,,,,,,,,,,,,,,,,,,0.12965,0.336566,-0.017857,0.277157,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.790128,0.151982,0.723519,0.856737,0.785671,0.244752,0.678404,0.892938,0.885511,0.058808,0.859738,0.911285,2.45,1.356272,1.855588,3.044412,0.858333,0.224748,0.759833,0.956834,1.8,0.615587,1.530207,2.069793,1.8,0.615587,1.530207,2.069793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885511,0.058808,0.859738,0.911285,,,,,,,,,,,,,,,,,,,,,,,,,0.1854,0.173723,0.109263,0.261537,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.876282,0.126542,0.820823,0.931741,0.901905,0.191927,0.817789,0.98602,0.90204,0.098851,0.858716,0.945363,1.25,1.208522,0.720342,1.779658,0.708333,0.208553,0.616931,0.799736,2.2,0.695852,1.895029,2.504971,2.2,0.695852,1.895029,2.504971,48.0,0.0,48.0,48.0,0.4,0.502625,0.179715,0.620285,0.921154,0.092043,0.880814,0.961494,-0.15,1.089423,-0.627461,0.327461,2.480113,0.781551,2.137583,2.822643,0.117202,0.240433,0.011827,0.222576,0.946377,0.126901,0.890761,1.001994,,,,,,,,,0.883788,0.089766,0.844446,0.923129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.373052,0.248503,0.575497,3.55,0.604805,3.284932,3.815068,3.2,1.151658,2.695264,3.704736,0.15,0.366348,-0.010559,0.310559,0.4,0.502625,0.179715,0.620285
probe,gpt-4o-mini-2024-07-18,2,20,20,0,0.799273,0.150053,0.733509,0.865037,0.774257,0.257356,0.661466,0.887048,0.883538,0.068903,0.85334,0.913735,2.45,1.605091,1.746538,3.153462,0.733333,0.212201,0.640332,0.826334,2.25,0.638666,1.970092,2.529908,2.25,0.638666,1.970092,2.529908,48.0,0.0,48.0,48.0,0.1,0.307794,-0.034896,0.234896,0.88688,0.07876,0.852362,0.921398,-0.8,0.615587,-1.069793,-0.530207,2.421106,0.845327,2.050625,2.791587,0.141519,0.30754,0.006734,0.276305,0.951443,0.11529,0.900915,1.001971,,,,,,,,,0.885511,0.058808,0.859738,0.911285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094,0.427479,0.522049,0.896751,3.9,0.307794,3.765104,4.034896,2.45,1.145931,1.947774,2.952226,0.15,0.366348,-0.010559,0.310559,0.3,0.571241,0.049643,0.550357
probe,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.887296,0.141381,0.825333,0.949259,0.930476,0.175477,0.85357,1.007382,0.902681,0.10456,0.856855,0.948506,1.2,1.399248,0.586753,1.813247,0.75,0.219649,0.653735,0.846265,2.2,0.615587,1.930207,2.469793,2.2,0.615587,1.930207,2.469793,48.0,0.0,48.0,48.0,0.45,0.510418,0.2263,0.6737,0.917424,0.097882,0.874526,0.960323,0.0,1.213954,-0.532039,0.532039,2.494949,0.819274,2.135887,2.854012,0.18235,0.337924,0.034249,0.330452,0.918693,0.161768,0.847795,0.989591,,,,,,,,,0.883788,0.089766,0.844446,0.923129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39905,0.386987,0.229445,0.568655,2.9,1.071153,2.430547,3.369453,3.2,0.767772,2.863509,3.536491,0.15,0.366348,-0.010559,0.310559,0.45,0.510418,0.2263,0.6737
probe,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.843375,0.147217,0.778854,0.907896,0.811955,0.222658,0.714371,0.90954,0.908116,0.079531,0.87326,0.942972,1.9,1.713722,1.148928,2.651072,0.8,0.233208,0.697792,0.902208,2.1,0.447214,1.904,2.296,2.1,0.447214,1.904,2.296,48.0,0.0,48.0,48.0,0.2,0.410391,0.020138,0.379862,0.89688,0.089548,0.857634,0.936126,-0.6,0.820783,-0.959724,-0.240276,2.736102,0.741026,2.411333,3.060872,0.129153,0.318543,-0.010455,0.268761,0.923432,0.18691,0.841515,1.005349,,,,,,,,,0.885511,0.058808,0.859738,0.911285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66245,0.332402,0.516768,0.808132,3.5,1.0,3.061731,3.938269,3.6,0.680557,3.301733,3.898267,0.25,0.444262,0.055294,0.444706,0.4,0.502625,0.179715,0.620285
probe_mec_only,none,1,20,20,0,0.706313,0.216248,0.611538,0.801088,0.711429,0.330404,0.566623,0.856234,0.883788,0.089766,0.844446,0.923129,2.25,1.482352,1.60033,2.89967,0.925,0.183174,0.844721,1.005279,1.4,0.680557,1.101733,1.698267,1.4,0.680557,1.101733,1.698267,5.2,4.020998,3.43772,6.96228,0.1,0.307794,-0.034896,0.234896,0.714647,0.211027,0.62216,0.807133,-0.8,0.615587,-1.069793,-0.530207,1.39224,0.7551,1.061303,1.723177,1e-06,2e-06,-0.0,1e-06,1.0,0.0,1.0,1.0,,,,,,,,,0.883788,0.089766,0.844446,0.923129,,,,,,,,,,,,,,,,,,,,,,,,,0.09915,0.089906,0.059747,0.138553,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_mec_only,none,2,20,20,0,0.784331,0.1429,0.721703,0.84696,0.7821,0.248535,0.673174,0.891025,0.885511,0.058808,0.859738,0.911285,2.45,1.276302,1.890636,3.009364,0.883333,0.210124,0.791242,0.975424,1.75,0.638666,1.470092,2.029908,1.75,0.638666,1.470092,2.029908,7.45,5.404433,5.081403,9.818597,0.05,0.223607,-0.048,0.148,0.797356,0.146548,0.733129,0.861584,-0.9,0.447214,-1.096,-0.704,1.777553,0.723155,1.460617,2.09449,0.069315,0.213347,-0.024188,0.162818,0.95,0.153897,0.882552,1.017448,,,,,,,,,0.885511,0.058808,0.859738,0.911285,,,,,,,,,,,,,,,,,,,,,,,,,0.28425,0.196617,0.198079,0.370421,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
