level,seed,model_tag,d,n_obs,n_remove,correct_remove,n_add,correct_add,pc_fp,pc_fn,n_pc_adj,n_non_adj,chance_remove,chance_add,pc_skeleton_f1
4,123393401,gpt-4o-mini-2024-07-18,12,300,4,0,4,0,0,3,9,57,0.0,0.052632,0.857143
4,123393401,qwen3-coder-30b-a3b-instruct,12,300,3,0,4,1,0,3,9,57,0.0,0.052632,0.857143
4,239607114,gpt-4o-mini-2024-07-18,12,300,4,0,0,0,0,2,10,56,0.0,0.035714,0.909091
4,239607114,qwen3-coder-30b-a3b-instruct,12,300,4,0,2,0,0,2,10,56,0.0,0.035714,0.909091
4,295485567,gpt-4o-mini-2024-07-18,12,300,4,0,1,0,0,0,12,54,0.0,0.0,1.0
4,295485567,qwen3-coder-30b-a3b-instruct,12,300,4,0,4,0,0,0,12,54,0.0,0.0,1.0
4,325160078,gpt-4o-mini-2024-07-18,12,300,4,0,1,0,0,1,11,55,0.0,0.018182,0.956522
4,325160078,qwen3-coder-30b-a3b-instruct,12,300,4,0,0,0,0,1,11,55,0.0,0.018182,0.956522
4,1078156455,gpt-4o-mini-2024-07-18,12,300,4,0,0,0,0,1,11,55,0.0,0.018182,0.956522
4,1078156455,qwen3-coder-30b-a3b-instruct,12,300,4,0,4,0,0,1,11,55,0.0,0.018182,0.956522
4,1158667886,gpt-4o-mini-2024-07-18,12,300,4,0,1,1,1,3,10,56,0.1,0.053571,0.818182
4,1158667886,qwen3-coder-30b-a3b-instruct,12,300,4,0,4,0,1,3,10,56,0.1,0.053571,0.818182
4,1279549348,gpt-4o-mini-2024-07-18,12,300,4,0,1,0,0,0,12,54,0.0,0.0,1.0
4,1279549348,qwen3-coder-30b-a3b-instruct,12,300,4,0,4,0,0,0,12,54,0.0,0.0,1.0
4,1580201974,gpt-4o-mini-2024-07-18,12,300,4,0,0,0,0,0,12,54,0.0,0.0,1.0
4,1580201974,qwen3-coder-30b-a3b-instruct,12,300,4,0,0,0,0,0,12,54,0.0,0.0,1.0
4,1719885688,gpt-4o-mini-2024-07-18,12,300,4,0,2,0,0,0,12,54,0.0,0.0,1.0
4,1719885688,qwen3-coder-30b-a3b-instruct,12,300,4,0,4,0,0,0,12,54,0.0,0.0,1.0
4,1943031107,gpt-4o-mini-2024-07-18,12,300,4,0,0,0,0,2,10,56,0.0,0.035714,0.909091
4,1943031107,qwen3-coder-30b-a3b-instruct,12,300,4,0,3,0,0,2,10,56,0.0,0.035714,0.909091
