arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
llm_e2e,gpt-4o-mini-2024-07-18,10,0.000 ±0.000,0.000 ±0.000,0.000 ±0.000,13.800 ±2.424,0.667 ±0.042,3.100 ±0.352,62500.200 ±5451.347,243.300 ±17.315,62743.500 ±5466.955,0.007 ±0.001,4.100 ±0.352,8.832 ±1.518
llm_e2e,qwen3-coder-30b-a3b-instruct,10,0.100 ±0.048,0.144 ±0.091,0.209 ±0.062,19.800 ±1.045,0.667 ±0.042,3.100 ±0.352,91837.200 ±7975.399,749.700 ±105.687,92586.900 ±8066.352,0.028 ±0.002,4.100 ±0.352,15.905 ±1.824
oracle,none,10,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.007 ±0.002
pc_greedy_meek,none,10,0.852 ±0.100,0.775 ±0.143,0.941 ±0.041,2.400 ±1.632,0.850 ±0.124,2.400 ±0.320,—,—,—,—,—,0.724 ±1.270
probe,gpt-4o-mini-2024-07-18,10,0.922 ±0.057,0.884 ±0.082,0.941 ±0.038,1.500 ±1.023,0.817 ±0.124,2.500 ±0.327,1970.200 ±1.395,97.700 ±13.281,2067.900 ±13.725,0.000 ±0.000,1.000 ±0.000,3.633 ±1.408
probe,qwen3-coder-30b-a3b-instruct,10,0.937 ±0.045,0.887 ±0.080,0.946 ±0.037,1.300 ±0.879,0.792 ±0.117,2.700 ±0.418,2827.300 ±6.274,448.600 ±99.416,3275.900 ±97.135,0.001 ±0.000,1.000 ±0.000,6.187 ±1.552
probe_llm_graphs,gpt-4o-mini-2024-07-18,10,0.693 ±0.141,0.734 ±0.176,0.932 ±0.043,4.200 ±1.889,0.975 ±0.049,0.700 ±0.829,1759.800 ±2.527,576.400 ±30.272,2336.200 ±32.097,0.001 ±0.000,1.000 ±0.000,7.031 ±0.535
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,10,0.668 ±0.149,0.734 ±0.176,0.901 ±0.061,5.300 ±2.788,0.842 ±0.105,2.000 ±0.826,2573.500 ±6.541,1215.700 ±115.432,3789.200 ±115.715,0.003 ±0.000,1.000 ±0.000,11.154 ±1.240
probe_oracle_edits,none,10,0.883 ±0.085,0.938 ±0.067,0.991 ±0.018,1.500 ±1.023,1.000 ±0.000,1.600 ±0.433,—,—,—,—,—,1.330 ±1.362
probe_random_edits,none,10,0.918 ±0.042,0.853 ±0.076,0.935 ±0.034,1.600 ±0.784,0.750 ±0.112,2.700 ±0.299,—,—,—,—,—,1.730 ±1.382
probe_skel_only,none,10,0.871 ±0.081,0.820 ±0.107,0.941 ±0.041,2.100 ±1.185,0.883 ±0.120,2.100 ±0.352,—,—,—,—,—,1.308 ±1.443
