run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T055726Z,2026-08-20T05:57:26.247356+00:00,study2,oracle,,none,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,0.017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,2,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:26.249893+00:00,study2,pc_greedy_meek,,none,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,6.556,1.0,0.75,0.8571428571428571,0.5,0.75,0.5,0.6,6,0.6666666666666666,3,2,8,1,3,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:26.285107+00:00,study2,probe_oracle_edits,,none,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,7.488,1.0,0.8333333333333334,0.9090909090909091,0.888888888888889,1.0,0.8333333333333334,0.9090909090909091,2,1.0,2,2,10,0,2,48,0,0,0.909091,-1,-1,1.38629,0.0,1.0,,,,,0,3,,0.857143,5,4,0.5,0,3,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:26.252467+00:00,study2,probe_skel_only,,none,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,7.886,1.0,0.75,0.8571428571428571,0.8235294117647058,1.0,0.75,0.8571428571428571,3,0.6666666666666666,3,2,9,0,3,48,0,0,0.857143,-1,-1,2.07944,0.0,1.0,,,,,,,,0.857143,5,4,0.5,0,0,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:26.253536+00:00,study2,probe_random_edits,,none,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,8.045,1.0,0.75,0.8571428571428571,0.8235294117647058,1.0,0.75,0.8571428571428571,3,0.6666666666666666,3,2,9,0,3,48,0,0,0.857143,-1,-1,2.60888,0.0194,0.99739,,,,,4,4,,0.857143,5,4,0.5,0,1,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:26.258794+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,9.951,1.0,0.75,0.8571428571428571,0.8235294117647058,1.0,0.75,0.8571428571428571,3,0.6666666666666666,3,2,9,0,3,48,48,0,0.857143,-1,-1,2.39705,0.09153,0.98165,,,0,,4,4,0,0.857143,5,4,0.5,0,0,1,0,0,1973,118,0,2091,0.00036675,2.8294
20260820T055726Z,2026-08-20T05:57:36.239962+00:00,study2,oracle,,none,4,295485567,2954855670411,12,12,300,150,3,2,12,4,success,,0.007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,2,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:36.270155+00:00,study2,pc_greedy_meek,,none,4,295485567,2954855670411,12,12,300,150,3,2,12,4,success,,0.079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,12,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:36.376822+00:00,study2,probe_skel_only,,none,4,295485567,2954855670411,12,12,300,150,3,2,12,4,success,,0.628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,12,0,2,48,0,1,1.0,1,1,2.20279,0.0001,0.99999,,,,,,,,1.0,4,8,0.5,0,0,,,,,,,,,
20260820T055726Z,2026-08-20T05:57:26.256103+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,4,123393401,1233934010411,12,12,300,150,3,2,12,2,success,,11.694,1.0,0.8333333333333334,0.9090909090909091,0.888888888888889,1.0,0.8333333333333334,0.9090909090909091,2,1.0,2,2,10,0,2,48,48,0,0.909091,-1,-1,1.38688,0.0,1.0,,,0,,3,4,0,0.857143,5,4,0.5,0,1,1,0,0,2834,459,0,3293,0.00150023,4.6006
