run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T055726Z,pc_greedy_meek,none,4,123393401,1,1,5.9508,,,,,,0.44444,,2,3,
20260820T055726Z,pc_greedy_meek,none,4,123393401,2,2,7.036,,,,,,0.52632,,1,2,
20260820T055726Z,pc_greedy_meek,none,4,123393401,3,5,2.804,,,,,,0.6,,1,1,
20260820T055726Z,probe_oracle_edits,none,4,123393401,1,6,3.0607,48,1.38629,0.69315,0.69315,0.5,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""5"": 0.69315, ""6"": 0.69315, ""8"": 0.69315}}"
20260820T055726Z,probe_oracle_edits,none,4,123393401,2,5,2.804,48,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""5"": 0.69315, ""8"": 0.69315}}"
20260820T055726Z,probe_skel_only,none,4,123393401,1,2,7.036,48,2.07944,1.38629,0.69315,0.25,0.7619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""6"": 0.69315, ""8"": 0.69315}}"
20260820T055726Z,probe_skel_only,none,4,123393401,2,1,5.9508,48,1.38629,0.69315,0.69315,0.5,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""5"": 0.69315, ""6"": 0.69315, ""8"": 0.69315}}"
20260820T055726Z,probe_skel_only,none,4,123393401,3,5,2.804,48,0.69315,0.0,0.69315,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""5"": 0.69315, ""8"": 0.69315}}"
20260820T055726Z,probe_random_edits,none,4,123393401,1,1,5.9508,48,2.60888,1.72695,0.88193,0.22688,0.7619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.89362, ""eig_by_target"": {""1"": 0.89362, ""2"": 0.74471, ""4"": 0.74811, ""5"": 0.89037, ""6"": 0.80005, ""8"": 0.8358}}"
20260820T055726Z,probe_random_edits,none,4,123393401,2,5,2.804,48,1.72695,0.71702,1.00993,0.49837,0.7619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.83546, ""eig_by_target"": {""1"": 0.00966, ""2"": 0.68363, ""4"": 0.7298, ""5"": 0.83546, ""8"": 0.7315}}"
20260820T055726Z,probe_random_edits,none,4,123393401,3,2,7.036,48,0.71702,0.0194,0.69761,0.99739,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69364, ""eig_by_target"": {""1"": 0.00574, ""2"": 0.69364, ""4"": 0.69048, ""5"": 0.00262}}"
20260820T055726Z,probe,gpt-4o-mini-2024-07-18,4,123393401,1,1,5.9508,48,2.39705,1.69304,0.70401,0.23016,0.7619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69666, ""eig_by_target"": {""0"": 0.06895, ""1"": 0.69666, ""2"": 0.65553, ""4"": 0.67555, ""5"": 0.6937, ""6"": 0.68962, ""8"": 0.69224}}"
20260820T055726Z,probe,gpt-4o-mini-2024-07-18,4,123393401,2,2,7.036,48,1.69304,0.79575,0.89729,0.48941,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.72532, ""eig_by_target"": {""0"": 0.11509, ""2"": 0.72532, ""4"": 0.69185, ""5"": 0.69737, ""8"": 0.69007}}"
20260820T055726Z,probe,gpt-4o-mini-2024-07-18,4,123393401,3,5,2.804,48,0.79575,0.09153,0.70422,0.98165,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69545, ""eig_by_target"": {""5"": 0.69545, ""8"": 0.69382}}"
20260820T055726Z,pc_greedy_meek,none,4,295485567,1,6,3.0432,,,,,,0.90909,,2,2,
20260820T055726Z,pc_greedy_meek,none,4,295485567,2,9,3.011,,,,,,1.0,,2,0,
20260820T055726Z,probe_skel_only,none,4,295485567,1,6,3.0432,48,2.20279,1.09947,1.10332,0.33331,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10384, ""eig_by_target"": {""2"": 0.00557, ""5"": 0.00557, ""6"": 1.10384, ""7"": 0.63968, ""8"": 0.69183, ""9"": 1.09763, ""10"": 0.63744, ""11"": 0.63884}}"
20260820T055726Z,probe_skel_only,none,4,295485567,2,9,3.011,48,1.09947,0.0001,1.09937,0.99999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09941, ""eig_by_target"": {""2"": 0.00086, ""5"": 0.00086, ""9"": 1.09941, ""10"": 0.63728, ""11"": 0.52177}}"
20260820T055726Z,probe,qwen3-coder-30b-a3b-instruct,4,123393401,1,5,2.804,48,1.38688,0.69315,0.69373,0.5,0.81818,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69373, ""eig_by_target"": {""1"": 0.69373, ""2"": 0.00058, ""4"": 0.00058, ""5"": 0.69373, ""6"": 0.69373, ""8"": 0.69373}}"
20260820T055726Z,probe,qwen3-coder-30b-a3b-instruct,4,123393401,2,1,5.9508,48,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""6"": 0.69315}}"
20260820T055726Z,probe_random_edits,none,4,295485567,1,9,3.011,48,2.20279,1.09947,1.10332,0.33331,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10162, ""eig_by_target"": {""2"": 0.00557, ""5"": 0.00557, ""6"": 1.10132, ""7"": 0.75317, ""8"": 0.58304, ""9"": 1.10162, ""10"": 0.64104, ""11"": 0.75642}}"
20260820T055726Z,probe_random_edits,none,4,295485567,2,6,3.0432,48,1.09947,0.0001,1.09937,0.99999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09943, ""eig_by_target"": {""2"": 0.00086, ""5"": 0.00086, ""6"": 1.09943, ""7"": 0.52152, ""8"": 0.75188}}"
20260820T055726Z,probe_oracle_edits,none,4,295485567,1,6,3.0432,48,2.20279,1.09947,1.10332,0.33331,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10384, ""eig_by_target"": {""2"": 0.00557, ""5"": 0.00557, ""6"": 1.10384, ""7"": 0.63968, ""8"": 0.69183, ""9"": 1.09763, ""10"": 0.63744, ""11"": 0.63884}}"
20260820T055726Z,probe_oracle_edits,none,4,295485567,2,9,3.011,48,1.09947,0.0001,1.09937,0.99999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09941, ""eig_by_target"": {""2"": 0.00086, ""5"": 0.00086, ""9"": 1.09941, ""10"": 0.63728, ""11"": 0.52177}}"
20260820T055726Z,probe,gpt-4o-mini-2024-07-18,4,295485567,1,6,3.0432,48,2.60671,1.50963,1.09708,0.29813,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10377, ""eig_by_target"": {""2"": 0.21003, ""5"": 0.23269, ""6"": 1.10377, ""7"": 0.81096, ""8"": 0.69489, ""9"": 1.09626, ""10"": 0.8672, ""11"": 0.52154}}"
20260820T055726Z,probe,gpt-4o-mini-2024-07-18,4,295485567,2,9,3.011,48,1.50963,0.4157,1.09393,0.89255,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10111, ""eig_by_target"": {""2"": 0.23008, ""5"": 0.23301, ""9"": 1.10111, ""10"": 0.63887, ""11"": 0.58218}}"
20260820T055726Z,probe,gpt-4o-mini-2024-07-18,4,295485567,3,5,3.5584,48,0.4157,0.22084,0.19486,0.94221,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.21637, ""eig_by_target"": {""2"": 0.19771, ""5"": 0.21637}}"
20260820T055726Z,llm_e2e,gpt-4o-mini-2024-07-18,4,123393401,1,0,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X0 to observe the effect on downstream variables and to help identify the causal structure.""}"
20260820T055726Z,llm_e2e,gpt-4o-mini-2024-07-18,4,123393401,2,1,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X1 to observe the effect on downstream variables and to help determine the causal structure.""}"
20260820T055726Z,llm_e2e,gpt-4o-mini-2024-07-18,4,123393401,3,2,10.0,,,,,,,,,,"{""rule"": ""llm_e2e"", ""rationale"": ""Intervening on X2 to observe the effect on other variables and to help determine the causal structure.""}"
