arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
llm_e2e,gpt-4o-mini-2024-07-18,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,3.910101,11.376494,16.223506,0.666667,0.068041,0.624494,0.708839,3.1,0.567646,2.748169,3.451831,3.1,0.567646,2.748169,3.451831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62500.2,8795.241501,57048.85284,67951.54716,243.3,27.936635,225.984694,260.615306,62743.5,8820.423135,57276.545102,68210.454898,0.007085,0.000874,0.006544,0.007627,4.1,0.567646,3.748169,4.451831,0.0,0.0,0.0,0.0,8.8319,2.448467,7.314325,10.349475,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,10,10,0,0.100387,0.077271,0.052494,0.148281,0.143579,0.146438,0.052815,0.234342,0.208965,0.100577,0.146627,0.271303,19.8,1.686548,18.754667,20.845333,0.666667,0.068041,0.624494,0.708839,3.1,0.567646,2.748169,3.451831,3.1,0.567646,2.748169,3.451831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91837.2,12867.565071,83861.800542,99812.599458,749.7,170.516894,644.012534,855.387466,92586.9,13014.309334,84520.547505,100653.252495,0.027959,0.00398,0.025492,0.030426,4.1,0.567646,3.748169,4.451831,0.0,0.0,0.0,0.0,15.9055,2.943271,14.081242,17.729758,,,,,,,,,,,,,,,,
oracle,none,10,10,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069,0.003985,0.00443,0.00937,,,,,,,,,,,,,,,,
pc_greedy_meek,none,10,10,0,0.851616,0.160605,0.752073,0.95116,0.775275,0.231052,0.632067,0.918482,0.940655,0.065453,0.900087,0.981223,2.4,2.633122,0.767974,4.032026,0.85,0.199536,0.726326,0.973674,2.4,0.516398,2.079933,2.720067,2.4,0.516398,2.079933,2.720067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940655,0.065453,0.900087,0.981224,,,,,,,,,,,,,,,,,,,,,,,,,0.7239,2.049248,-0.546237,1.994037,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,10,10,0,0.922379,0.091985,0.865366,0.979392,0.883507,0.132371,0.801462,0.965551,0.940599,0.061994,0.902174,0.979023,1.5,1.649916,0.477372,2.522628,0.816667,0.199536,0.692993,0.940341,2.5,0.527046,2.173333,2.826667,2.5,0.527046,2.173333,2.826667,48.0,0.0,48.0,48.0,0.4,0.516398,0.079933,0.720067,0.940599,0.061994,0.902174,0.979023,-0.2,1.032796,-0.840133,0.440133,2.505694,0.393072,2.262065,2.749323,0.239184,0.457932,-0.044645,0.523013,0.867386,0.266732,0.702064,1.032708,,,,,,,,,0.940655,0.065453,0.900087,0.981224,1970.2,2.250926,1968.804862,1971.595138,97.7,21.427138,84.419323,110.980677,2067.9,22.143221,2054.17549,2081.62451,0.000354,1.3e-05,0.000346,0.000362,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.6325,2.271541,2.224585,5.040415,4.0,0.0,4.0,4.0,1.0,1.247219,0.226966,1.773034,0.0,0.0,0.0,0.0,0.1,0.316228,-0.096,0.296
probe,qwen3-coder-30b-a3b-instruct,10,10,0,0.936759,0.071826,0.892241,0.981277,0.8866,0.129455,0.806363,0.966836,0.94585,0.059916,0.908713,0.982986,1.3,1.418136,0.42103,2.17897,0.791667,0.189419,0.674263,0.90907,2.7,0.674949,2.281663,3.118337,2.7,0.674949,2.281663,3.118337,48.0,0.0,48.0,48.0,0.4,0.516398,0.079933,0.720067,0.936759,0.071826,0.892241,0.981277,-0.2,1.032796,-0.840133,0.440133,2.244555,0.799541,1.748994,2.740116,0.092721,0.136297,0.008243,0.177199,0.978477,0.030938,0.959302,0.997652,,,,,,,,,0.940655,0.065453,0.900087,0.981224,2827.3,10.122033,2821.026299,2833.573701,448.6,160.398947,349.183703,548.016297,3275.9,156.71875,3178.764712,3373.035288,0.001483,0.000233,0.001338,0.001628,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.1871,2.503298,4.63554,7.73866,3.9,0.316228,3.704,4.096,2.9,1.66333,1.869057,3.930943,0.0,0.0,0.0,0.0,0.1,0.316228,-0.096,0.296
probe_llm_graphs,gpt-4o-mini-2024-07-18,10,10,0,0.693149,0.227565,0.552103,0.834195,0.73433,0.284334,0.558098,0.910562,0.932411,0.068826,0.889752,0.97507,4.2,3.047768,2.310974,6.089026,0.975,0.079057,0.926,1.024,0.7,1.337494,-0.128987,1.528987,0.7,1.337494,-0.128987,1.528987,7.4,4.40202,4.6716,10.1284,0.1,0.316228,-0.096,0.296,0.695313,0.225133,0.555775,0.834852,-0.8,0.632456,-1.192,-0.408,0.290627,0.480927,-0.007455,0.588709,0.127683,0.403253,-0.122256,0.377622,0.960758,0.124041,0.883876,1.03764,12.0,0.0,12.0,12.0,7.4,4.40202,4.6716,10.1284,0.940655,0.065453,0.900087,0.981224,1759.8,4.077036,1757.273027,1762.326973,576.4,48.840329,546.12845,606.67155,2336.2,51.785455,2304.103043,2368.296957,0.00061,3e-05,0.000591,0.000628,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0305,0.862854,6.495697,7.565303,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,10,10,0,0.667876,0.241162,0.518402,0.81735,0.73433,0.284334,0.558098,0.910562,0.900517,0.098463,0.839489,0.961545,5.3,4.498148,2.512019,8.087981,0.841667,0.168737,0.737082,0.946251,2.0,1.333333,1.173591,2.826409,2.0,1.333333,1.173591,2.826409,7.8,3.994441,5.32422,10.27578,0.2,0.421637,-0.061333,0.461333,0.690965,0.22924,0.548881,0.83305,-0.4,1.349897,-1.236675,0.436675,0.529141,0.572461,0.174326,0.883956,0.179734,0.318867,-0.017902,0.37737,0.938895,0.12496,0.861444,1.016346,12.0,0.0,12.0,12.0,7.8,3.994441,5.32422,10.27578,0.940655,0.065453,0.900087,0.981224,2573.5,10.554093,2566.958505,2580.041495,1215.7,186.239422,1100.26761,1331.13239,3789.2,186.695117,3673.485168,3904.914832,0.002531,0.000272,0.002362,0.0027,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.1544,2.000317,9.91459,12.39421,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_oracle_edits,none,10,10,0,0.882576,0.137028,0.797645,0.967507,0.938095,0.108032,0.871136,1.005054,0.990909,0.028748,0.973091,1.008727,1.5,1.649916,0.477372,2.522628,1.0,0.0,1.0,1.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,48.0,0.0,48.0,48.0,0.4,0.516398,0.079933,0.720067,0.918083,0.098553,0.856999,0.979167,-0.2,1.032796,-0.840133,0.440133,1.502468,0.673242,1.085188,1.919748,1e-05,3.2e-05,-1e-05,3e-05,0.999999,3e-06,0.999997,1.000001,,,,,,,,,0.940655,0.065453,0.900087,0.981224,,,,,,,,,,,,,,,,,,,,,,,,,1.3303,2.196967,-0.031394,2.691994,0.1,0.316228,-0.096,0.296,1.2,1.229273,0.438089,1.961911,0.1,0.316228,-0.096,0.296,1.2,1.229273,0.438089,1.961911
probe_random_edits,none,10,10,0,0.917674,0.06793,0.87557,0.959777,0.853442,0.123122,0.777131,0.929754,0.93546,0.055514,0.901052,0.969868,1.6,1.264911,0.816,2.384,0.75,0.180021,0.638422,0.861578,2.7,0.483046,2.400605,2.999395,2.7,0.483046,2.400605,2.999395,48.0,0.0,48.0,48.0,0.3,0.483046,0.000605,0.599395,0.917674,0.06793,0.87557,0.959777,-0.4,0.966092,-0.99879,0.19879,2.477193,0.816059,1.971395,2.982991,0.071132,0.143538,-0.017834,0.160098,0.981794,0.038985,0.957631,1.005957,,,,,,,,,0.940655,0.065453,0.900087,0.981224,,,,,,,,,,,,,,,,,,,,,,,,,1.7302,2.229752,0.348185,3.112215,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.1,0.316228,-0.096,0.296,0.2,0.421637,-0.061333,0.461333
