run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T065531Z,pc_greedy_meek,none,4,123393401,1,1,5.9508,,,,,,0.44444,,2,3,
20260820T065531Z,pc_greedy_meek,none,4,123393401,2,2,7.036,,,,,,0.52632,,1,2,
20260820T065531Z,pc_greedy_meek,none,4,123393401,3,5,2.804,,,,,,0.6,,1,1,
20260820T065531Z,probe_oracle_edits,none,4,123393401,1,6,3.0607,48,1.38629,0.69315,0.69315,0.5,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""5"": 0.69315, ""6"": 0.69315, ""8"": 0.69315}}"
20260820T065531Z,probe_oracle_edits,none,4,123393401,2,5,2.804,48,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""5"": 0.69315, ""8"": 0.69315}}"
20260820T065531Z,pc_greedy_meek,none,4,295485567,1,6,3.0432,,,,,,0.90909,,2,2,
20260820T065531Z,pc_greedy_meek,none,4,295485567,2,9,3.011,,,,,,1.0,,2,0,
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,123393401,1,5,2.804,48,1.38688,0.69315,0.69373,0.5,0.81818,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69373, ""eig_by_target"": {""1"": 0.69373, ""2"": 0.00058, ""4"": 0.00058, ""5"": 0.69373, ""6"": 0.69373, ""8"": 0.69373}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,123393401,2,1,5.9508,48,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""6"": 0.69315}}"
20260820T065531Z,probe_random_edits,none,4,123393401,1,5,2.804,48,1.44913,0.69315,0.75599,0.5,0.63636,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75599, ""eig_by_target"": {""1"": 0.75599, ""2"": 0.06284, ""4"": 0.06235, ""5"": 0.75599, ""6"": 0.75582, ""8"": 0.75599, ""9"": 0.06264}}"
20260820T065531Z,probe_random_edits,none,4,123393401,2,1,5.9508,48,0.69315,0.0,0.69315,1.0,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""6"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,123393401,1,1,5.9508,24,3.17805,2.07944,1.09861,0.125,0.47619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 1.09861, ""2"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""6"": 0.63651, ""7"": 0.69428, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,123393401,2,2,7.036,24,2.07944,1.38629,0.69315,0.25,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,123393401,3,5,2.804,24,1.38629,0.69315,0.69315,0.5,0.57143,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""5"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_skel_only,none,4,123393401,1,2,7.036,48,2.07944,1.38629,0.69315,0.25,0.7619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""6"": 0.69315, ""8"": 0.69315}}"
20260820T065531Z,probe_skel_only,none,4,123393401,2,1,5.9508,48,1.38629,0.69315,0.69315,0.5,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""5"": 0.69315, ""6"": 0.69315, ""8"": 0.69315}}"
20260820T065531Z,probe_skel_only,none,4,123393401,3,5,2.804,48,0.69315,0.0,0.69315,1.0,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""5"": 0.69315, ""8"": 0.69315}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,123393401,1,2,7.036,48,1.57667,1.86839,-0.29172,0.21636,0.7619,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.88352, ""eig_by_target"": {""1"": 0.87134, ""2"": 0.88352, ""4"": 0.85303, ""5"": 0.19037, ""6"": 0.84233, ""8"": 0.19038}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,123393401,2,1,5.9508,48,1.86839,1.22292,0.64547,0.42436,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.81093, ""eig_by_target"": {""1"": 0.81093, ""3"": 0.13014, ""5"": 0.73216, ""6"": 0.6754, ""8"": 0.68652}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,123393401,3,5,2.804,48,1.22292,0.35731,0.86561,0.91252,0.85714,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.70754, ""eig_by_target"": {""3"": 0.01336, ""5"": 0.70754, ""6"": 0.05352, ""8"": 0.69638}}"
20260820T065531Z,probe_mec_only,none,4,295485567,1,6,3.0432,9,2.19722,1.09861,1.09861,0.33333,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""6"": 1.09861, ""7"": 0.69428, ""8"": 0.46323, ""9"": 1.09861, ""10"": 0.63651, ""11"": 0.57875}}"
20260820T065531Z,probe_mec_only,none,4,295485567,2,9,3.011,9,1.09861,0.0,1.09861,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""9"": 1.09861, ""10"": 0.63651, ""11"": 0.63651}}"
20260820T065531Z,pc_greedy_meek,none,4,325160078,1,7,3.3466,,,,,,0.90909,,5,1,
20260820T065531Z,pc_greedy_meek,none,4,325160078,2,1,5.6056,,,,,,0.95652,,1,0,
20260820T065531Z,probe_skel_only,none,4,295485567,1,6,3.0432,48,2.20279,1.09947,1.10332,0.33331,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10384, ""eig_by_target"": {""2"": 0.00557, ""5"": 0.00557, ""6"": 1.10384, ""7"": 0.63968, ""8"": 0.69183, ""9"": 1.09763, ""10"": 0.63744, ""11"": 0.63884}}"
20260820T065531Z,probe_skel_only,none,4,295485567,2,9,3.011,48,1.09947,0.0001,1.09937,0.99999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09941, ""eig_by_target"": {""2"": 0.00086, ""5"": 0.00086, ""9"": 1.09941, ""10"": 0.63728, ""11"": 0.52177}}"
20260820T065531Z,probe_random_edits,none,4,295485567,1,9,3.011,48,2.20279,1.09947,1.10332,0.33331,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10162, ""eig_by_target"": {""2"": 0.00557, ""5"": 0.00557, ""6"": 1.10132, ""7"": 0.75317, ""8"": 0.58304, ""9"": 1.10162, ""10"": 0.64104, ""11"": 0.75642}}"
20260820T065531Z,probe_random_edits,none,4,295485567,2,6,3.0432,48,1.09947,0.0001,1.09937,0.99999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09943, ""eig_by_target"": {""2"": 0.00086, ""5"": 0.00086, ""6"": 1.09943, ""7"": 0.52152, ""8"": 0.75188}}"
20260820T065531Z,probe_skel_only,none,4,325160078,1,1,5.6056,48,1.38629,0.69315,0.69315,0.5,0.52174,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""1"": 0.69315, ""6"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_skel_only,none,4,325160078,2,6,2.9539,48,0.69315,0.0,0.69315,1.0,0.6087,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""6"": 0.69315}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,295485567,1,6,3.0432,48,2.79726,1.5847,1.21256,0.29445,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.13358, ""eig_by_target"": {""2"": 0.03944, ""5"": -0.03104, ""6"": 1.13358, ""7"": 0.79371, ""8"": 0.60817, ""9"": 1.09758, ""10"": 0.84081, ""11"": 0.57917}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,295485567,2,9,3.011,48,1.5847,0.40417,1.18053,0.90549,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10639, ""eig_by_target"": {""2"": 0.02369, ""5"": 0.00604, ""9"": 1.10639, ""10"": 0.76849, ""11"": 0.58626}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,295485567,3,5,3.5584,48,0.40417,0.3456,0.05857,0.92181,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.02292, ""eig_by_target"": {""2"": 0.01198, ""5"": 0.02292}}"
20260820T065531Z,probe_oracle_edits,none,4,295485567,1,6,3.0432,48,2.20279,1.09947,1.10332,0.33331,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10384, ""eig_by_target"": {""2"": 0.00557, ""5"": 0.00557, ""6"": 1.10384, ""7"": 0.63968, ""8"": 0.69183, ""9"": 1.09763, ""10"": 0.63744, ""11"": 0.63884}}"
20260820T065531Z,probe_oracle_edits,none,4,295485567,2,9,3.011,48,1.09947,0.0001,1.09937,0.99999,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09941, ""eig_by_target"": {""2"": 0.00086, ""5"": 0.00086, ""9"": 1.09941, ""10"": 0.63728, ""11"": 0.52177}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,295485567,1,6,3.0432,48,2.60671,1.50963,1.09708,0.29813,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10377, ""eig_by_target"": {""2"": 0.21003, ""5"": 0.23269, ""6"": 1.10377, ""7"": 0.81096, ""8"": 0.69489, ""9"": 1.09626, ""10"": 0.8672, ""11"": 0.52154}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,295485567,2,9,3.011,48,1.50963,0.4157,1.09393,0.89255,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.10111, ""eig_by_target"": {""2"": 0.23008, ""5"": 0.23301, ""9"": 1.10111, ""10"": 0.63887, ""11"": 0.58218}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,295485567,3,5,3.5584,48,0.4157,0.22084,0.19486,0.94221,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.21637, ""eig_by_target"": {""2"": 0.19771, ""5"": 0.21637}}"
20260820T065531Z,pc_greedy_meek,none,4,1719885688,1,3,5.7888,,,,,,0.90909,,1,2,
20260820T065531Z,pc_greedy_meek,none,4,1719885688,2,4,4.604,,,,,,0.95652,,1,1,
20260820T065531Z,pc_greedy_meek,none,4,1719885688,3,9,2.7147,,,,,,1.0,,1,0,
20260820T065531Z,probe_mec_only,none,4,325160078,1,7,3.3466,12,2.48491,0.69315,1.79176,0.5,0.86957,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.44519, ""eig_by_target"": {""1"": 0.69315, ""2"": 1.09861, ""3"": 0.31644, ""4"": 0.45056, ""5"": 0.45056, ""7"": 1.44519, ""8"": 1.09861, ""11"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,325160078,2,1,5.6056,12,0.69315,0.0,0.69315,1.0,0.95652,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_oracle_edits,none,4,325160078,1,1,5.6056,48,1.09861,0.0,1.09861,1.0,0.58333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75204, ""eig_by_target"": {""0"": 0.57875, ""1"": 0.75204, ""6"": 0.75204, ""11"": 0.57875}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,325160078,1,7,3.3466,48,2.48491,0.69315,1.79176,0.5,0.86957,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.44519, ""eig_by_target"": {""1"": 0.69315, ""2"": 1.09861, ""3"": 0.31644, ""4"": 0.45056, ""5"": 0.45056, ""7"": 1.44519, ""8"": 1.09861, ""11"": 0.69315}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,325160078,2,1,5.6056,48,0.69315,0.0,0.69315,1.0,0.95652,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_skel_only,none,4,1719885688,1,11,5.1471,48,1.79176,0.69315,1.09861,0.5,0.75,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""0"": 0.63651, ""4"": 0.69315, ""5"": 0.69314, ""9"": 0.57875, ""11"": 1.09861}}"
20260820T065531Z,probe_skel_only,none,4,1719885688,2,5,3.1825,48,0.69315,0.0,0.69315,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""4"": 0.69315, ""5"": 0.69315}}"
20260820T065531Z,probe_random_edits,none,4,325160078,1,0,11.8966,48,2.76939,1.09861,1.67078,0.33333,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.17078, ""eig_by_target"": {""0"": 1.17078, ""1"": 0.89342, ""3"": 0.60131, ""4"": 0.5883, ""6"": 0.84284, ""7"": 1.03651, ""8"": 0.52055, ""9"": 0.23876, ""10"": 0.29924, ""11"": 0.92455}}"
20260820T065531Z,probe_random_edits,none,4,325160078,2,8,5.4484,48,1.09861,-0.0,1.09861,1.0,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""3"": 0.52099, ""7"": 0.63651, ""8"": 1.09861}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,325160078,1,7,3.3466,48,2.48491,0.69315,1.79176,0.5,0.86957,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.44519, ""eig_by_target"": {""1"": 0.69315, ""2"": 1.09861, ""3"": 0.31644, ""4"": 0.45056, ""5"": 0.45056, ""7"": 1.44519, ""8"": 1.09861, ""11"": 0.69315}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,325160078,2,1,5.6056,48,0.69315,0.0,0.69315,1.0,0.95652,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,pc_greedy_meek,none,4,239607114,1,5,6.7116,,,,,,0.52632,,5,3,
20260820T065531Z,pc_greedy_meek,none,4,239607114,2,7,4.4062,,,,,,0.66667,,2,1,
20260820T065531Z,pc_greedy_meek,none,4,239607114,3,2,2.9688,,,,,,0.72727,,1,0,
20260820T065531Z,probe_mec_only,none,4,1719885688,1,3,5.7888,8,2.07944,1.38629,0.69315,0.25,0.83333,4,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,1719885688,2,4,4.604,8,1.38629,0.69315,0.69315,0.5,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""4"": 0.69315, ""5"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,1719885688,3,9,2.7147,8,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_oracle_edits,none,4,1719885688,1,11,5.1471,48,1.79176,0.69315,1.09861,0.5,0.75,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""0"": 0.63651, ""4"": 0.69315, ""5"": 0.69314, ""9"": 0.57875, ""11"": 1.09861}}"
20260820T065531Z,probe_oracle_edits,none,4,1719885688,2,5,3.1825,48,0.69315,0.0,0.69315,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""4"": 0.69315, ""5"": 0.69315}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,1719885688,1,4,4.604,48,2.07944,1.38629,0.69315,0.25,0.83333,4,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,1719885688,2,3,5.7888,48,1.38629,0.69315,0.69315,0.5,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,1719885688,3,9,2.7147,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,1719885688,1,4,4.604,48,2.07944,1.38629,0.69315,0.25,0.83333,4,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""4"": 0.69315, ""5"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,1719885688,2,3,5.7888,48,1.38629,0.69315,0.69315,0.5,0.91667,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""8"": 0.69315, ""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,1719885688,3,9,2.7147,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""9"": 0.69315, ""11"": 0.69315}}"
20260820T065531Z,probe_random_edits,none,4,1719885688,1,4,4.604,48,1.13984,1.76622,-0.62638,0.27511,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.9592, ""eig_by_target"": {""0"": 0.30133, ""2"": 0.21169, ""3"": 0.02644, ""4"": 0.9592, ""5"": 0.71199, ""6"": 0.39432, ""9"": 0.27449, ""10"": -0.02573, ""11"": 0.4467}}"
20260820T065531Z,probe_random_edits,none,4,1719885688,2,11,5.1471,48,1.76622,0.0,1.76622,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.22961, ""eig_by_target"": {""0"": 0.69872, ""2"": 0.0498, ""3"": 0.06976, ""4"": 0.06891, ""6"": 0.091, ""9"": 0.5306, ""10"": 0.034, ""11"": 1.22961}}"
20260820T065531Z,probe_random_edits,none,4,239607114,1,3,10.6133,48,1.78356,0.69315,1.09042,0.5,0.69565,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.32147, ""eig_by_target"": {""1"": 0.74384, ""2"": 0.4722, ""3"": 1.32147, ""4"": 0.5023, ""5"": 1.20594, ""6"": 0.47566, ""7"": 0.74384, ""9"": 0.4614, ""11"": 1.09476}}"
20260820T065531Z,probe_random_edits,none,4,239607114,2,2,2.9688,48,0.69315,0.0,0.69315,1.0,0.78261,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""9"": 0.69315}}"
20260820T065531Z,pc_greedy_meek,none,4,1279549348,1,4,3.3346,,,,,,0.90909,,2,2,
20260820T065531Z,pc_greedy_meek,none,4,1279549348,2,7,4.467,,,,,,1.0,,2,0,
20260820T065531Z,probe_skel_only,none,4,239607114,1,7,4.4062,48,3.24957,0.69315,2.55642,0.5,0.81818,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.04091, ""eig_by_target"": {""1"": 0.3215, ""2"": 0.72883, ""3"": 1.30881, ""4"": 0.46803, ""5"": 1.37623, ""6"": 1.18369, ""7"": 2.04091, ""8"": 0.29507, ""9"": 0.73968, ""10"": 0.33003, ""11"": 1.0774}}"
20260820T065531Z,probe_skel_only,none,4,239607114,2,2,2.9688,48,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""9"": 0.69315}}"
20260820T065531Z,probe_skel_only,none,4,1279549348,1,4,3.3346,48,1.0987,0.0,1.0987,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.0987, ""eig_by_target"": {""4"": 1.0987, ""9"": 0.6366, ""11"": 0.52108}}"
20260820T065531Z,probe_mec_only,none,4,239607114,1,5,6.7116,16,2.77259,1.79176,0.98083,0.16667,0.63636,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.37648, ""eig_by_target"": {""1"": 0.29569, ""2"": 0.69315, ""3"": 0.58631, ""4"": 0.13353, ""5"": 1.37648, ""6"": 0.88494, ""7"": 1.27472, ""8"": 0.45785, ""9"": 0.69315, ""10"": 0.45785}}"
20260820T065531Z,probe_mec_only,none,4,239607114,2,7,4.4062,16,1.79176,0.69315,1.09861,0.5,0.63636,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""1"": 0.57875, ""2"": 0.69315, ""7"": 1.09861, ""8"": 0.63651, ""9"": 0.69315}}"
20260820T065531Z,probe_mec_only,none,4,239607114,3,2,2.9688,16,0.69315,0.0,0.69315,1.0,0.72727,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""9"": 0.69315}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,239607114,1,7,4.4062,48,3.16985,0.69315,2.4767,0.5,0.81818,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.97638, ""eig_by_target"": {""1"": 0.31961, ""2"": 0.72766, ""3"": 1.38822, ""4"": 1.00781, ""5"": 1.38341, ""6"": 0.93219, ""7"": 1.97638, ""8"": 0.29414, ""9"": 0.77267, ""10"": 0.519, ""11"": 1.32005}}"
20260820T065531Z,probe,gpt-4o-mini-2024-07-18,4,239607114,2,2,2.9688,48,0.69315,0.0,0.69315,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""9"": 0.69315}}"
20260820T065531Z,probe_oracle_edits,none,4,239607114,1,3,10.6133,48,1.78356,0.69315,1.09042,0.5,0.75,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.2637, ""eig_by_target"": {""1"": 0.68608, ""2"": 0.73348, ""3"": 1.2637, ""4"": 0.32838, ""5"": 1.2637, ""6"": 0.37324, ""7"": 0.97489, ""9"": 0.72208, ""11"": 1.00321}}"
20260820T065531Z,probe_oracle_edits,none,4,239607114,2,2,2.9688,48,0.69315,0.0,0.69315,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""2"": 0.69315, ""9"": 0.69315}}"
20260820T065531Z,probe_oracle_edits,none,4,1279549348,1,4,3.3346,48,1.0987,0.0,1.0987,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.0987, ""eig_by_target"": {""4"": 1.0987, ""9"": 0.6366, ""11"": 0.52108}}"
20260820T065531Z,probe_mec_only,none,4,1279549348,1,4,3.3346,9,2.19722,1.09861,1.09861,0.33333,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""0"": 0.63651, ""2"": 0.57875, ""4"": 1.09861, ""7"": 1.09861, ""9"": 0.69428, ""11"": 0.69428}}"
20260820T065531Z,probe_mec_only,none,4,1279549348,2,7,4.467,9,1.09861,0.0,1.09861,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""0"": 0.63651, ""2"": 0.57875, ""7"": 1.09861}}"
20260820T065531Z,pc_greedy_meek,none,4,1943031107,1,1,3.042,,,,,,0.63158,,2,3,
20260820T065531Z,pc_greedy_meek,none,4,1943031107,2,8,5.8861,,,,,,0.7619,,2,1,
20260820T065531Z,pc_greedy_meek,none,4,1943031107,3,3,16.1407,,,,,,0.81818,,1,0,
20260820T065531Z,probe,qwen3-coder-30b-a3b-instruct,4,239607114,1,2,2.9688,48,0.69319,2.50557,-1.81239,0.12449,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69318, ""eig_by_target"": {""2"": 0.69318, ""7"": 4e-05, ""9"": 0.69318, ""11"": 4e-05}}"
