run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T055113Z,2026-08-20T05:51:13.941051+00:00,study2,oracle,,none,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T055113Z,2026-08-20T05:51:13.942156+00:00,study2,pc_greedy_meek,,none,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,5.73,1.0,0.75,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1.0,0,1,3,0,0,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
20260820T055113Z,2026-08-20T05:51:19.694483+00:00,study2,probe_maxdeg_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,2.113,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1,1.0,1,1,4,0,1,48,48,1,1.0,5,2,2.34929,0.69315,0.5,,,0,,2,3,1,0.857143,0,3,0.5,0,1,1,0,0,609,102,0,711,0.00015255,0.0
20260820T055113Z,2026-08-20T05:51:13.946034+00:00,study2,probe_random_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,7.876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,4,0,1,48,48,1,1.0,5,1,2.34929,0.0,1.0,,,0,,2,3,0,0.857143,0,3,0.5,0,1,1,0,0,609,102,0,711,0.00015255,2.0964
20260820T055113Z,2026-08-20T05:51:13.945045+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,7.992,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1,1.0,1,1,4,0,1,48,48,1,1.0,5,2,2.34929,0.69315,0.5,,,0,,2,3,1,0.857143,0,3,0.5,0,1,1,0,0,609,102,0,711,0.00015255,0.0
20260820T055113Z,2026-08-20T05:51:21.950165+00:00,study2,oracle,,none,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T055113Z,2026-08-20T05:51:21.872429+00:00,study2,probe_skel_only,,none,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,0.084,1.0,0.75,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1.0,1,1,3,0,1,8,0,0,0.857143,-1,-1,1.38629,-0.0,1.0,,,,,,,,0.857143,0,3,0.5,0,0,,,,,,,,,
20260820T055113Z,2026-08-20T05:51:21.982526+00:00,study2,pc_greedy_meek,,none,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20260820T055113Z,2026-08-20T05:51:13.968456+00:00,study2,probe_maxdeg_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,8.25,1.0,0.75,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1.0,1,1,3,0,1,44,44,0,0.857143,-1,-1,2.24849,0.00152,0.99985,,,0,,3,3,1,0.857143,0,3,0.5,0,1,1,0,0,969,191,0,1160,0.00056277,0.0
20260820T055113Z,2026-08-20T05:51:13.945723+00:00,study2,probe_random_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,8.282,1.0,0.75,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1.0,1,1,3,0,1,44,44,0,0.857143,-1,-1,2.24849,0.62784,0.8029,,,0,,3,3,0,0.857143,0,3,0.5,0,1,1,0,0,969,191,0,1160,0.00056277,2.5151
