arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,0,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00565,0.008707,0.001834,0.009466,,,,,,,,,,,,,,,,
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.003627,0.00241,0.00559,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.019448,0.001477,0.018523,,,,,,,,,,,,,,,,
oracle,none,3,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0096,0.014155,0.003396,0.015804,,,,,,,,,,,,,,,,
pc_greedy_meek,none,0,20,20,0,0.695833,0.28489,0.570975,0.820692,1.0,0.0,1.0,1.0,0.90873,0.069069,0.878459,0.939001,1.45,1.190975,0.928032,1.971968,1.0,0.0,1.0,1.0,1.25,0.638666,0.970092,1.529908,1.25,0.638666,0.970092,1.529908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90873,0.069069,0.878459,0.939001,,,,,,,,,,,,,,,,,,,,,,,,,0.29735,1.278755,-0.263089,0.857789,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.917366,0.107075,0.870438,0.964293,0.97619,0.079532,0.941334,1.011047,0.973427,0.041749,0.955129,0.991724,0.65,0.74516,0.323419,0.976581,1.0,0.0,1.0,1.0,1.5,0.606977,1.233981,1.766019,1.5,0.606977,1.233981,1.766019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973427,0.041749,0.955129,0.991724,,,,,,,,,,,,,,,,,,,,,,,,,0.03405,0.019784,0.025379,0.042721,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.912857,0.135439,0.853498,0.972216,0.956566,0.083043,0.92017,0.992961,0.967083,0.03941,0.949811,0.984356,1.1,1.410487,0.481827,1.718173,1.0,0.0,1.0,1.0,1.75,0.638666,1.470092,2.029908,1.75,0.638666,1.470092,2.029908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967083,0.039411,0.949811,0.984356,,,,,,,,,,,,,,,,,,,,,,,,,0.05825,0.039471,0.040951,0.075549,,,,,,,,,,,,,,,,
pc_greedy_meek,none,3,20,20,0,0.882122,0.116319,0.831143,0.933101,0.898254,0.120622,0.845389,0.951119,0.939724,0.071011,0.908602,0.970846,1.85,1.7252,1.093898,2.606102,1.0,0.0,1.0,1.0,1.9,0.718185,1.585242,2.214758,1.9,0.718185,1.585242,2.214758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939724,0.071011,0.908602,0.970846,,,,,,,,,,,,,,,,,,,,,,,,,0.0887,0.026929,0.076898,0.100502,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,0,20,20,0,0.910516,0.157843,0.841338,0.979693,1.0,0.0,1.0,1.0,0.974802,0.065916,0.945912,1.003691,0.45,0.825578,0.088175,0.811825,1.0,0.0,1.0,1.0,1.5,0.512989,1.275173,1.724827,1.5,0.512989,1.275173,1.724827,46.3,4.508472,44.324075,48.275925,0.85,0.366348,0.689441,1.010559,0.980159,0.048822,0.958762,1.001556,0.85,0.875094,0.466473,1.233527,2.333394,0.422406,2.148267,2.518522,0.462033,0.382924,0.29421,0.629857,0.758233,0.246381,0.650252,0.866214,,,,,,,,,0.90873,0.069069,0.878459,0.939001,609.75,1.773341,608.972799,610.527201,80.2,9.666001,75.963688,84.436312,689.95,9.854067,685.631265,694.268735,0.00014,6e-06,0.000137,0.000142,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.17825,1.400895,1.564281,2.792219,2.15,0.587143,1.892673,2.407327,1.9,0.788069,1.554614,2.245386,0.0,0.0,0.0,0.0,0.55,0.510418,0.3263,0.7737
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.928555,0.119255,0.876289,0.980821,0.980357,0.062908,0.952786,1.007928,0.962005,0.057725,0.936706,0.987304,0.65,1.03999,0.194204,1.105796,1.0,0.0,1.0,1.0,1.65,0.48936,1.435528,1.864472,1.65,0.48936,1.435528,1.864472,48.0,0.0,48.0,48.0,0.7,0.470162,0.493942,0.906058,0.964336,0.068023,0.934523,0.994148,0.55,1.234376,0.009011,1.090989,2.019836,0.591847,1.760448,2.279224,0.422485,0.533752,0.188557,0.656412,0.817681,0.247894,0.709036,0.926325,,,,,,,,,0.973427,0.041749,0.955129,0.991724,830.15,2.033276,829.258878,831.041122,104.7,15.734976,97.803843,111.596157,934.85,16.158019,927.768436,941.931564,0.000187,9e-06,0.000183,0.000192,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.77295,0.43659,2.581606,2.964294,3.65,0.587143,3.392673,3.907327,2.35,1.268028,1.794262,2.905738,0.0,0.0,0.0,0.0,0.05,0.223607,-0.048,0.148
