run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T065556Z,2026-08-20T06:55:56.211776+00:00,study2,oracle,,none,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:56.213973+00:00,study2,probe_random_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,1.142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,4,0,1,48,48,1,1.0,4,1,2.34929,0.0,1.0,,,0,,2,3,1,0.857143,0,3,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:56.217037+00:00,study2,probe_maxdeg_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,1.14,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1,1.0,1,1,4,0,1,48,48,1,1.0,4,2,2.34929,0.69315,0.5,,,0,,3,3,1,0.857143,0,3,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:56.212274+00:00,study2,pc_greedy_meek,,none,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,1.163,1.0,0.75,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1.0,0,1,3,0,0,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:56.213749+00:00,study2,probe_random_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,4,0,1,48,48,1,1.0,4,1,2.34929,0.0,1.0,,,0,,3,3,1,0.857143,0,3,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:56.213524+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,1.256,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1,1.0,1,1,4,0,1,48,48,1,1.0,4,2,2.34929,0.69315,0.5,,,0,,2,3,1,0.857143,0,3,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.421651+00:00,study2,probe_maxdeg_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,0.05,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1,1.0,1,1,4,0,1,48,48,1,1.0,4,2,2.34929,0.69315,0.5,,,0,,2,3,1,0.857143,0,3,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.479186+00:00,study2,probe_skel_only,,none,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,0.021,1.0,0.75,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1.0,1,1,3,0,1,8,0,0,0.857143,-1,-1,1.38629,-0.0,1.0,,,,,,,,0.857143,0,3,0.5,0,0,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:56.212883+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,123393401,1233934010007,4,4,300,150,1,1,4,4,success,,1.287,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1,1.0,1,1,4,0,1,48,48,1,1.0,4,2,2.34929,0.69315,0.5,,,0,,3,3,1,0.857143,0,3,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.500615+00:00,study2,oracle,,none,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:57.501656+00:00,study2,pc_greedy_meek,,none,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:57.505835+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,6,1,2.75496,0.66186,0.82863,,,0,,0,2,1,1.0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.664385+00:00,study2,probe_random_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,6,1,2.75496,1.57338,0.37669,,,0,,0,2,1,1.0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.555530+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,6,1,2.73382,0.63959,0.83172,,,0,,2,2,1,1.0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.718500+00:00,study2,probe_random_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,6,1,2.73382,1.53065,0.37947,,,0,,2,2,1,1.0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.730439+00:00,study2,probe_maxdeg_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,6,1,2.75496,0.66186,0.82863,,,0,,0,2,1,1.0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.742522+00:00,study2,probe_maxdeg_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,6,1,2.73382,0.63959,0.83172,,,0,,2,2,1,1.0,4,0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.754241+00:00,study2,probe_skel_only,,none,0,295485567,2954855670007,4,4,300,150,2,2,4,4,success,,0.026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,12,0,1,1.0,6,1,2.07944,0.0,1.0,,,,,,,,1.0,4,0,0.5,0,0,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:57.780451+00:00,study2,oracle,,none,0,325160078,3251600780007,4,4,300,150,2,2,4,4,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:57.781479+00:00,study2,pc_greedy_meek,,none,0,325160078,3251600780007,4,4,300,150,2,2,4,4,success,,0.003,1.0,0.75,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1.0,1,2,3,0,1,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
20260820T065556Z,2026-08-20T06:55:57.784535+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,325160078,3251600780007,4,4,300,150,2,2,4,4,success,,0.116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,12,1,1.8441,0.0,1.0,,,0,,2,2,1,0.857143,1,2,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:57.890884+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,325160078,3251600780007,4,4,300,150,2,2,4,4,success,,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,2,2,4,0,2,48,48,1,1.0,10,1,1.82469,0.0,1.0,,,0,,2,2,1,0.857143,1,2,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:58.001544+00:00,study2,probe_random_sel,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,0,325160078,3251600780007,4,4,300,150,2,2,4,4,success,,0.01,1.0,0.75,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1.0,2,2,3,0,2,48,48,1,1.0,12,2,1.8441,0.91173,0.7426,,,0,,2,2,1,0.857143,1,2,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
20260820T065556Z,2026-08-20T06:55:58.011662+00:00,study2,probe_random_sel,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,0,325160078,3251600780007,4,4,300,150,2,2,4,4,success,,0.01,1.0,0.75,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1.0,2,2,3,0,2,48,48,1,1.0,10,2,1.82469,1.1078,0.68841,,,0,,2,2,1,0.857143,1,2,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0
