arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,0,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00175,0.000967,0.001326,0.002174,,,,,,,,,,,,,,,,
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.000587,0.001593,0.002107,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022,0.00041,0.00202,0.00238,,,,,,,,,,,,,,,,
oracle,none,3,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041,0.001483,0.00345,0.00475,,,,,,,,,,,,,,,,
pc_greedy_meek,none,0,20,20,0,0.695833,0.28489,0.570975,0.820692,1.0,0.0,1.0,1.0,0.90873,0.069069,0.878459,0.939001,1.45,1.190975,0.928032,1.971968,1.0,0.0,1.0,1.0,1.25,0.638666,0.970092,1.529908,1.25,0.638666,0.970092,1.529908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90873,0.069069,0.878459,0.939001,,,,,,,,,,,,,,,,,,,,,,,,,0.0634,0.25886,-0.05005,0.17685,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.917366,0.107075,0.870438,0.964293,0.97619,0.079532,0.941334,1.011047,0.973427,0.041749,0.955129,0.991724,0.65,0.74516,0.323419,0.976581,1.0,0.0,1.0,1.0,1.5,0.606977,1.233981,1.766019,1.5,0.606977,1.233981,1.766019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973427,0.041749,0.955129,0.991724,,,,,,,,,,,,,,,,,,,,,,,,,0.02985,0.019736,0.0212,0.0385,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.912857,0.135439,0.853498,0.972216,0.956566,0.083043,0.92017,0.992961,0.967083,0.03941,0.949811,0.984356,1.1,1.410487,0.481827,1.718173,1.0,0.0,1.0,1.0,1.75,0.638666,1.470092,2.029908,1.75,0.638666,1.470092,2.029908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967083,0.039411,0.949811,0.984356,,,,,,,,,,,,,,,,,,,,,,,,,0.04585,0.01786,0.038023,0.053677,,,,,,,,,,,,,,,,
pc_greedy_meek,none,3,20,20,0,0.882122,0.116319,0.831143,0.933101,0.898254,0.120622,0.845389,0.951119,0.939724,0.071011,0.908602,0.970846,1.85,1.7252,1.093898,2.606102,1.0,0.0,1.0,1.0,1.9,0.718185,1.585242,2.214758,1.9,0.718185,1.585242,2.214758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939724,0.071011,0.908602,0.970846,,,,,,,,,,,,,,,,,,,,,,,,,0.09735,0.053901,0.073727,0.120973,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,0,20,20,0,0.910516,0.157843,0.841338,0.979693,1.0,0.0,1.0,1.0,0.987302,0.039423,0.970024,1.004579,0.4,0.680557,0.101733,0.698267,1.0,0.0,1.0,1.0,1.5,0.512989,1.275173,1.724827,1.5,0.512989,1.275173,1.724827,46.6,4.500292,44.62766,48.57234,0.9,0.307794,0.765104,1.034896,0.987302,0.039423,0.970024,1.004579,1.0,0.794719,0.651699,1.348301,2.352389,0.421736,2.167555,2.537223,0.462033,0.382924,0.29421,0.629857,0.758233,0.246381,0.650252,0.866214,,,,,,,,,0.90873,0.069069,0.878459,0.939001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15055,0.26298,0.035294,0.265806,2.15,0.587143,1.892673,2.407327,1.9,0.788069,1.554614,2.245386,0.0,0.0,0.0,0.0,0.55,0.510418,0.3263,0.7737
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.954312,0.089833,0.914941,0.993683,0.9875,0.055902,0.963,1.012,0.970338,0.049635,0.948585,0.992091,0.45,0.825578,0.088175,0.811825,1.0,0.0,1.0,1.0,1.65,0.48936,1.435528,1.864472,1.65,0.48936,1.435528,1.864472,48.0,0.0,48.0,48.0,0.75,0.444262,0.555294,0.944706,0.968881,0.067169,0.939443,0.998319,0.65,1.182103,0.13192,1.16808,2.319754,0.574208,2.068096,2.571412,0.461668,0.586297,0.204712,0.718624,0.840624,0.241676,0.734705,0.946543,,,,,,,,,0.973427,0.041749,0.955129,0.991724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33585,0.460159,1.134176,1.537524,3.65,0.587143,3.392673,3.907327,2.35,1.268028,1.794262,2.905738,0.0,0.0,0.0,0.0,0.05,0.223607,-0.048,0.148
