graph,condition,run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
cancer,shared,20260820T055114Z,2026-08-20T05:51:14.058986+00:00,study2_semantic,oracle,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T055114Z,2026-08-20T05:51:14.059263+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,5.538,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,,,,,,,,,,,,,,,,,0.857143,,,,,,,,,,,,,,
cancer,shared,20260820T055114Z,2026-08-20T05:51:19.626304+00:00,study2_semantic,probe_skel_only,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.034,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,8,0,0,0.857143,-1,-1,1.38629,0.0,1.0,,,,,,,,0.857143,3,0,0.5,0,0,,,,,,,,,
cancer,shared,20260820T055114Z,2026-08-20T05:51:19.690754+00:00,study2_semantic,probe_random_edits,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.154,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,48,0,0,0.857143,-1,-1,1.09912,0.72684,0.76746,,,,,3,4,,0.857143,3,0,0.5,0,0,,,,,,,,,
cancer,shared,20260820T055114Z,2026-08-20T05:51:19.869458+00:00,study2_semantic,probe_oracle_edits,,none,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,24,0,1,1.0,1,1,0.0,0.0,1.0,,,,,0,1,,0.857143,3,0,0.5,0,1,,,,,,,,,
cancer,named,20260820T055114Z,2026-08-20T05:51:14.059879+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,7.568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,36,36,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,1,,0.857143,3,0,0.5,0,1,1,0,0,795,172,0,967,0.00137025,2.03
cancer,named,20260820T055114Z,2026-08-20T05:51:14.108199+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,7.753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1,0,4,0,1,48,48,1,1.0,1,1,1.70403,0.33177,0.92078,,,0,,0,2,,0.857143,3,0,0.5,0,1,1,0,0,868,158,0,1026,0.000908,2.1203
cancer,named,20260820T055114Z,2026-08-20T05:51:14.059715+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,7.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,3,3,,0.857143,3,0,0.5,0,1,1,0,0,805,109,0,914,0.00018615,2.442
cancer,named,20260820T055114Z,2026-08-20T05:51:14.059466+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,9.531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,4,,0.857143,3,0,0.5,0,1,1,0,0,1198,318,0,1516,0.00081549,3.9918
cancer,anon,20260820T055114Z,2026-08-20T05:51:21.884435+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260820,2654167437,5,4,300,150,1,0,4,0,success,,2.022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,48,48,1,1.0,1,1,0.0,0.0,1.0,,,0,,1,2,,0.857143,3,0,0.5,0,1,1,0,0,700,141,0,841,0.0011595,2.0023
cancer,shared,20260820T055114Z,2026-08-20T05:51:23.926085+00:00,study2_semantic,oracle,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T055114Z,2026-08-20T05:51:23.947582+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260821,2654167568,5,4,300,150,1,0,4,0,success,,0.022,0.8,1.0,0.888888888888889,1.0,1.0,1.0,1.0,1,0.0,1,0,4,1,1,,,,,,,,,,,,,,,,,0.888889,,,,,,,,,,,,,,
