arm,condition,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,shared,none,60,60,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006917,0.013403,0.003525,0.010308,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,60,60,0,0.796847,0.19318,0.747966,0.845728,0.902422,0.105755,0.875662,0.929181,0.875034,0.100152,0.849692,0.900376,3.1,4.107455,2.06067,4.13933,0.641667,0.452629,0.527136,0.756198,1.4,1.224053,1.090272,1.709728,1.4,1.224053,1.090272,1.709728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875034,0.100152,0.849692,0.900376,,,,,,,,,,,,,,,,,,,,,,,,,0.149633,0.714682,-0.031206,0.330473,,,,,,,,,,,,,,,,
probe,anon,claude-haiku-4.5,60,60,0,0.789271,0.235907,0.729578,0.848964,0.910452,0.16333,0.869124,0.95178,0.881792,0.09453,0.857872,0.905711,3.15,4.289621,2.064576,4.235424,0.363889,0.445992,0.251037,0.476741,1.583333,0.925929,1.349041,1.817626,1.583333,0.925929,1.349041,1.817626,46.4,4.11364,45.359105,47.440895,0.316667,0.469102,0.197968,0.435366,0.856325,0.166525,0.814188,0.898461,-0.316667,1.033206,-0.578104,-0.05523,1.750755,0.743146,1.562713,1.938797,0.28207,0.285651,0.209791,0.35435,0.914851,0.104184,0.888489,0.941213,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1717.85,389.050553,1619.406627,1816.293373,285.083333,95.840668,260.832298,309.334368,2002.933333,392.983886,1903.49469,2102.371976,0.003143,0.000592,0.002993,0.003293,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.869767,2.208398,4.310965,5.428568,1.566667,0.767268,1.372521,1.760812,1.85,0.708902,1.670623,2.029377,0.2,0.403376,0.097932,0.302068,0.383333,0.825272,0.174511,0.592156
probe,anon,gemini-3-flash-preview,60,60,0,0.838493,0.193196,0.789607,0.887378,0.945594,0.109509,0.917884,0.973304,0.918266,0.080253,0.897959,0.938573,2.466667,3.519759,1.576045,3.357288,0.386111,0.443876,0.273795,0.498427,1.516667,0.965361,1.272397,1.760937,1.516667,0.965361,1.272397,1.760937,44.533333,7.418407,42.656217,46.410449,0.4,0.494032,0.274993,0.525007,0.882096,0.148499,0.844521,0.919672,-0.183333,1.016669,-0.440586,0.073919,1.845988,0.792261,1.645519,2.046458,0.349555,0.41414,0.244763,0.454347,0.857492,0.201396,0.806532,0.908452,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1201.366667,528.93638,1067.527296,1335.206037,136.333333,22.971365,130.520776,142.145891,1337.7,529.887206,1203.620038,1471.779962,0.00101,0.000275,0.00094,0.001079,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.896167,3.464296,4.019579,5.772754,0.216667,0.41545,0.111543,0.32179,1.983333,0.892372,1.757532,2.209135,0.133333,0.342803,0.046592,0.220075,0.85,1.147215,0.559715,1.140285
probe,anon,gpt-4o-mini-2024-07-18,60,60,0,0.834583,0.193559,0.785605,0.88356,0.941251,0.110852,0.913201,0.9693,0.898336,0.10335,0.872185,0.924487,2.733333,3.905089,1.74521,3.721457,0.559722,0.459287,0.443507,0.675938,1.466667,1.171218,1.170308,1.763026,1.466667,1.171218,1.170308,1.763026,47.666667,1.694124,47.237994,48.095339,0.366667,0.485961,0.243702,0.489632,0.864441,0.177899,0.819427,0.909456,-0.25,1.002116,-0.50357,0.00357,1.561382,1.179204,1.263002,1.859762,0.254745,0.383235,0.157773,0.351717,0.896024,0.182838,0.84976,0.942288,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1021.383333,389.034097,922.944125,1119.822542,99.433333,18.936438,94.641753,104.224913,1120.816667,388.6453,1022.475837,1219.157496,0.00021,6e-05,0.000195,0.000225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.598983,1.282168,2.27455,2.923417,3.333333,0.836998,3.121544,3.545123,2.45,1.442984,2.084875,2.815125,0.15,0.360085,0.058886,0.241114,0.383333,0.555151,0.242861,0.523806
probe,anon,gpt-5.4-mini,60,60,0,0.79742,0.210615,0.744127,0.850713,0.915339,0.146775,0.8782,0.952478,0.875991,0.097472,0.851327,0.900655,3.116667,4.03834,2.094826,4.138508,0.452778,0.46824,0.334297,0.571259,1.533333,1.032796,1.272,1.794667,1.533333,1.032796,1.272,1.794667,45.066667,7.577546,43.149283,46.98405,0.283333,0.45442,0.168349,0.398317,0.852065,0.172562,0.808401,0.895729,-0.383333,1.009978,-0.638893,-0.127774,1.683139,1.01483,1.426352,1.939927,0.253073,0.312189,0.174078,0.332068,0.908961,0.139102,0.873763,0.944159,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1011.383333,389.034097,912.944125,1109.822542,200.566667,67.21944,183.557802,217.575532,1211.95,431.429725,1102.783218,1321.116782,0.001661,0.000528,0.001527,0.001795,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.929883,1.393877,2.577184,3.282583,2.133333,1.333616,1.795882,2.470785,2.316667,1.268813,1.995613,2.637721,0.166667,0.375823,0.07157,0.261763,0.283333,0.584885,0.135337,0.43133
probe,anon,qwen3-coder-30b-a3b-instruct,60,60,0,0.829746,0.209027,0.776855,0.882638,0.937422,0.119645,0.907147,0.967696,0.90155,0.106177,0.874684,0.928417,2.783333,4.113194,1.742552,3.824115,0.494444,0.46382,0.377082,0.611807,1.5,1.112335,1.218541,1.781459,1.5,1.112335,1.218541,1.781459,46.8,5.812902,45.329133,48.270867,0.416667,0.497167,0.290866,0.542467,0.866168,0.180099,0.820597,0.911739,-0.15,1.022211,-0.408655,0.108655,1.664467,1.166672,1.369259,1.959676,0.208963,0.313724,0.12958,0.288346,0.930984,0.129607,0.898189,0.963779,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1542.3,534.340883,1407.093102,1677.506898,374.883333,516.83437,244.106194,505.660473,1917.183333,849.97658,1702.109584,2132.257082,0.000999,0.000818,0.000793,0.001206,1.016667,0.129099,0.984,1.049333,0.016667,0.129099,-0.016,0.049333,4.4728,4.783051,3.262521,5.683079,2.733333,1.45982,2.363948,3.102719,3.383333,1.009978,3.127774,3.638893,0.15,0.360085,0.058886,0.241114,0.45,0.699273,0.273059,0.626941
probe,named,claude-haiku-4.5,60,60,0,0.812343,0.226782,0.754959,0.869726,0.935666,0.126304,0.903707,0.967626,0.896651,0.10175,0.870904,0.922397,2.966667,4.329507,1.87115,4.062183,0.431944,0.462199,0.314992,0.548897,1.533333,1.016252,1.276186,1.790481,1.533333,1.016252,1.276186,1.790481,47.133333,2.954265,46.385801,47.880866,0.416667,0.497167,0.290866,0.542467,0.864612,0.180493,0.818941,0.910283,-0.1,1.115378,-0.38223,0.18223,1.69802,0.981687,1.449618,1.946421,0.264466,0.309877,0.186056,0.342876,0.908193,0.144885,0.871533,0.944854,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1834.65,408.455081,1731.296604,1938.003396,382.416667,116.836013,352.853076,411.980257,2217.066667,460.318455,2100.590027,2333.543306,0.003747,0.000816,0.00354,0.003953,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.9328,2.058382,5.411957,6.453643,1.45,0.6746,1.279303,1.620697,1.8,0.683957,1.626935,1.973065,0.2,0.403376,0.097932,0.302068,0.45,0.790301,0.250026,0.649974
probe,named,gemini-3-flash-preview,60,60,0,0.854947,0.205467,0.802957,0.906937,0.966205,0.085726,0.944513,0.987896,0.931531,0.083116,0.9105,0.952562,2.383333,3.844837,1.410455,3.356211,0.431944,0.462199,0.314992,0.548897,1.533333,0.999435,1.280441,1.786225,1.533333,0.999435,1.280441,1.786225,45.333333,6.856067,43.598509,47.068158,0.516667,0.503939,0.389152,0.644181,0.890098,0.161693,0.849184,0.931012,0.05,1.032112,-0.21116,0.31116,1.835138,0.864942,1.616277,2.053999,0.280453,0.303392,0.203684,0.357222,0.889528,0.159082,0.849275,0.929781,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1306.866667,544.556684,1169.074814,1444.658519,191.116667,60.693476,175.759098,206.474235,1497.983333,553.697265,1357.878595,1638.088072,0.001227,0.000342,0.00114,0.001313,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0109,3.93555,5.015069,7.006731,0.516667,0.567231,0.373137,0.660196,1.933333,0.860955,1.715482,2.151185,0.183333,0.390205,0.084598,0.282069,0.933333,1.132968,0.646653,1.220014
probe,named,gpt-4o-mini-2024-07-18,60,60,0,0.810047,0.232244,0.751281,0.868812,0.925041,0.160969,0.88431,0.965772,0.891099,0.103793,0.864836,0.917362,2.966667,4.186203,1.907411,4.025922,0.533333,0.45442,0.418349,0.648317,1.516667,1.200165,1.212983,1.82035,1.516667,1.200165,1.212983,1.82035,46.333333,5.984915,44.818941,47.847726,0.316667,0.469102,0.197968,0.435366,0.856387,0.179087,0.811071,0.901702,-0.366667,0.938204,-0.604065,-0.129268,1.503709,1.203259,1.199243,1.808175,0.199724,0.312521,0.120645,0.278802,0.916864,0.159388,0.876533,0.957195,,,,,,,,,0.875034,0.100152,0.849692,0.900376,1123.983333,404.270026,1021.688903,1226.277764,117.0,21.116304,111.656838,122.343162,1240.983333,409.726552,1137.308211,1344.658455,0.000239,6.5e-05,0.000222,0.000255,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.949617,1.481003,2.574871,3.324362,3.3,0.787616,3.100706,3.499294,2.35,1.338162,2.011398,2.688602,0.1,0.302532,0.023449,0.176551,0.316667,0.503939,0.189152,0.444181
