arm,condition,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,shared,none,60,60,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004267,0.006584,0.002601,0.005933,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,60,60,0,0.796847,0.19318,0.747966,0.845728,0.902422,0.105755,0.875662,0.929181,0.875034,0.100152,0.849692,0.900376,3.1,4.107455,2.06067,4.13933,0.641667,0.452629,0.527136,0.756198,1.4,1.224053,1.090272,1.709728,1.4,1.224053,1.090272,1.709728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875034,0.100152,0.849692,0.900376,,,,,,,,,,,,,,,,,,,,,,,,,0.063633,0.208413,0.010898,0.116369,,,,,,,,,,,,,,,,
probe,anon,claude-haiku-4.5,60,60,0,0.793452,0.228949,0.735519,0.851384,0.910452,0.16333,0.869124,0.95178,0.880113,0.097911,0.855338,0.904888,3.1,4.177015,2.043069,4.156931,0.359722,0.44109,0.248111,0.471333,1.6,0.960226,1.357029,1.842971,1.6,0.960226,1.357029,1.842971,46.4,4.11364,45.359105,47.440895,0.316667,0.469102,0.197968,0.435366,0.85717,0.164057,0.815658,0.898683,-0.316667,1.033206,-0.578104,-0.05523,1.738221,0.739627,1.55107,1.925372,0.291909,0.286377,0.219445,0.364372,0.910032,0.10691,0.88298,0.937084,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2498,1.077846,0.977067,1.522533,1.566667,0.767268,1.372521,1.760812,1.85,0.708902,1.670623,2.029377,0.2,0.403376,0.097932,0.302068,0.383333,0.825272,0.174511,0.592156
probe,anon,gemini-3-flash-preview,60,60,0,0.840339,0.187902,0.792793,0.887885,0.954685,0.091824,0.93145,0.97792,0.915584,0.08583,0.893866,0.937302,2.5,3.610249,1.586481,3.413519,0.390278,0.448499,0.276792,0.503764,1.5,0.911322,1.269404,1.730596,1.5,0.911322,1.269404,1.730596,44.533333,7.418407,42.656217,46.410449,0.4,0.494032,0.274993,0.525007,0.883928,0.143828,0.847534,0.920321,-0.183333,1.016669,-0.440586,0.073919,1.842641,0.794377,1.641635,2.043646,0.35376,0.369552,0.26025,0.447269,0.850451,0.1994,0.799996,0.900906,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342883,1.015376,1.085958,1.599809,0.216667,0.41545,0.111543,0.32179,1.983333,0.892372,1.757532,2.209135,0.133333,0.342803,0.046592,0.220075,0.85,1.147215,0.559715,1.140285
probe,anon,gpt-4o-mini-2024-07-18,60,60,0,0.821748,0.21902,0.766329,0.877168,0.942376,0.14108,0.906678,0.978074,0.90142,0.101695,0.875688,0.927152,2.85,4.12033,1.807413,3.892587,0.618056,0.454702,0.503,0.733111,1.333333,1.129972,1.047411,1.619256,1.333333,1.129972,1.047411,1.619256,47.8,1.549193,47.408,48.192,0.416667,0.497167,0.290866,0.542467,0.87191,0.180635,0.826204,0.917617,-0.1,1.100077,-0.378358,0.178358,1.519365,1.153284,1.227544,1.811186,0.269052,0.422471,0.162152,0.375952,0.887702,0.19056,0.839484,0.935921,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21885,1.227763,0.908183,1.529517,3.333333,0.836998,3.121544,3.545123,2.45,1.442984,2.084875,2.815125,0.15,0.360085,0.058886,0.241114,0.383333,0.555151,0.242861,0.523806
probe,anon,gpt-5.4-mini,60,60,0,0.799759,0.217503,0.744723,0.854794,0.921736,0.145372,0.884952,0.958521,0.879973,0.100646,0.854507,0.90544,3.1,4.217397,2.032851,4.167149,0.463889,0.465213,0.346174,0.581604,1.533333,1.096476,1.255887,1.81078,1.533333,1.096476,1.255887,1.81078,45.066667,7.577546,43.149283,46.98405,0.3,0.462125,0.183066,0.416934,0.853957,0.172405,0.810333,0.897582,-0.35,1.022211,-0.608655,-0.091345,1.637621,1.041029,1.374204,1.901037,0.282559,0.33633,0.197456,0.367662,0.891509,0.157391,0.851684,0.931335,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318733,1.266877,0.998169,1.639298,2.133333,1.333616,1.795882,2.470785,2.316667,1.268813,1.995613,2.637721,0.166667,0.375823,0.07157,0.261763,0.283333,0.584885,0.135337,0.43133
probe,anon,qwen3-coder-30b-a3b-instruct,60,60,0,0.836073,0.210857,0.782719,0.889427,0.946748,0.111264,0.918595,0.974902,0.906976,0.104725,0.880477,0.933475,2.7,4.175392,1.64348,3.75652,0.569444,0.465416,0.451678,0.687211,1.416667,1.124333,1.132171,1.701162,1.416667,1.124333,1.132171,1.701162,46.933333,5.792651,45.46759,48.399076,0.466667,0.503098,0.339365,0.593968,0.871455,0.183619,0.824993,0.917917,-0.016667,1.0813,-0.290273,0.25694,1.701228,1.231838,1.38953,2.012926,0.252565,0.399717,0.151423,0.353707,0.910095,0.160427,0.869501,0.950688,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2961,1.205136,0.991159,1.601041,2.733333,1.45982,2.363948,3.102719,3.383333,1.009978,3.127774,3.638893,0.15,0.360085,0.058886,0.241114,0.45,0.699273,0.273059,0.626941
probe,named,claude-haiku-4.5,60,60,0,0.820452,0.216386,0.765699,0.875205,0.942333,0.106565,0.915368,0.969298,0.899202,0.09609,0.874887,0.923516,2.9,4.269323,1.819712,3.980288,0.434722,0.465397,0.316961,0.552484,1.516667,0.965361,1.272397,1.760937,1.516667,0.965361,1.272397,1.760937,47.133333,2.954265,46.385801,47.880866,0.416667,0.497167,0.290866,0.542467,0.866001,0.17728,0.821143,0.910859,-0.1,1.115378,-0.38223,0.18223,1.721124,1.000073,1.468071,1.974178,0.251366,0.277176,0.18123,0.321501,0.916133,0.119036,0.886012,0.946253,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.300267,1.011562,1.044306,1.556227,1.45,0.6746,1.279303,1.620697,1.8,0.683957,1.626935,1.973065,0.2,0.403376,0.097932,0.302068,0.45,0.790301,0.250026,0.649974
probe,named,gemini-3-flash-preview,60,60,0,0.856385,0.200783,0.80558,0.90719,0.971356,0.071444,0.953279,0.989434,0.931462,0.082523,0.910581,0.952344,2.4,3.840904,1.428117,3.371883,0.436111,0.466224,0.31814,0.554082,1.5,0.94779,1.260176,1.739824,1.5,0.94779,1.260176,1.739824,45.333333,6.856067,43.598509,47.068158,0.516667,0.503939,0.389152,0.644181,0.890098,0.161693,0.849184,0.931012,0.05,1.032112,-0.21116,0.31116,1.838962,0.866378,1.619738,2.058186,0.299534,0.331237,0.21572,0.383349,0.882001,0.172233,0.83842,0.925582,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.354083,1.154777,1.061884,1.646282,0.516667,0.567231,0.373137,0.660196,1.933333,0.860955,1.715482,2.151185,0.183333,0.390205,0.084598,0.282069,0.933333,1.132968,0.646653,1.220014
probe,named,gpt-4o-mini-2024-07-18,60,60,0,0.819843,0.231641,0.76123,0.878456,0.936152,0.158014,0.896169,0.976135,0.894792,0.104671,0.868306,0.921277,2.833333,4.178909,1.775924,3.890743,0.5375,0.457575,0.421718,0.653282,1.516667,1.185958,1.216578,1.816756,1.516667,1.185958,1.216578,1.816756,46.333333,5.984915,44.818941,47.847726,0.366667,0.485961,0.243702,0.489632,0.861797,0.178678,0.816586,0.907009,-0.25,1.002116,-0.50357,0.00357,1.552998,1.162859,1.258754,1.847242,0.220037,0.357546,0.129565,0.310509,0.913979,0.166374,0.87188,0.956077,,,,,,,,,0.875034,0.100152,0.849692,0.900376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257867,1.277935,0.934504,1.581229,3.3,0.787616,3.100706,3.499294,2.35,1.338162,2.011398,2.688602,0.1,0.302532,0.023449,0.176551,0.316667,0.503939,0.189152,0.444181
