arm,condition,model_tag,graph,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,shared,none,asia,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,0.000522,0.001205,0.001795,,,,,,,,,,,,,,,,
oracle,shared,none,cancer,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001917,0.003502,-6.5e-05,0.003898,,,,,,,,,,,,,,,,
oracle,shared,none,earthquake,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000833,0.000389,0.000613,0.001054,,,,,,,,,,,,,,,,
oracle,shared,none,sachs,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016083,0.005334,0.013066,0.019101,,,,,,,,,,,,,,,,
oracle,shared,none,survey,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.000426,0.000759,0.001241,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,asia,12,12,0,0.885376,0.070597,0.845432,0.92532,0.825926,0.128824,0.753037,0.898815,0.940237,0.032727,0.92172,0.958754,1.333333,0.651339,0.964804,1.701863,0.833333,0.174078,0.73484,0.931827,2.5,0.522233,2.204519,2.795481,2.5,0.522233,2.204519,2.795481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940237,0.032727,0.92172,0.958753,,,,,,,,,,,,,,,,,,,,,,,,,0.041083,0.010449,0.035171,0.046995,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,cancer,12,12,0,0.88955,0.091947,0.837526,0.941574,0.907738,0.086761,0.858649,0.956828,0.901124,0.080856,0.855375,0.946873,0.833333,0.57735,0.506667,1.16,0.416667,0.514929,0.125318,0.708015,0.583333,0.514929,0.291985,0.874682,0.583333,0.514929,0.291985,0.874682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.901124,0.080856,0.855376,0.946873,,,,,,,,,,,,,,,,,,,,,,,,,0.148917,0.465481,-0.114454,0.412287,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,earthquake,12,12,0,0.88955,0.091947,0.837526,0.941574,0.907738,0.086761,0.858649,0.956828,0.901124,0.080856,0.855375,0.946873,0.833333,0.57735,0.506667,1.16,0.416667,0.514929,0.125318,0.708015,0.583333,0.514929,0.291985,0.874682,0.583333,0.514929,0.291985,0.874682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.901124,0.080856,0.855376,0.946873,,,,,,,,,,,,,,,,,,,,,,,,,0.012917,0.004033,0.010635,0.015199,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,sachs,12,12,0,0.458376,0.084148,0.410765,0.505987,1.0,0.0,1.0,1.0,0.738085,0.090296,0.686995,0.789175,11.083333,1.083625,10.470215,11.696452,0.958333,0.097312,0.903274,1.013393,2.916667,0.792961,2.468006,3.365327,2.916667,0.792961,2.468006,3.365327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738085,0.090296,0.686995,0.789175,,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.039731,0.07352,0.11848,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,survey,12,12,0,0.861383,0.119868,0.793562,0.929205,0.870707,0.102015,0.812987,0.928428,0.8946,0.067072,0.85665,0.932549,1.416667,0.996205,0.853011,1.980323,0.583333,0.514929,0.291985,0.874682,0.416667,0.514929,0.125318,0.708015,0.416667,0.514929,0.125318,0.708015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8946,0.067072,0.85665,0.932549,,,,,,,,,,,,,,,,,,,,,,,,,0.01925,0.003361,0.017348,0.021152,,,,,,,,,,,,,,,,
