graph,condition,run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
cancer,shared,20260820T055901Z,2026-08-20T05:59:01.106965+00:00,study2_semantic,oracle,,none,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,0.031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancer,shared,20260820T055901Z,2026-08-20T05:59:01.107248+00:00,study2_semantic,pc_greedy_meek,,none,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,5.578,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0.0,1,0,2,0,1,,,,,,,,,,,,,,,,,0.666667,,,,,,,,,,,,,,
cancer,shared,20260820T055901Z,2026-08-20T05:59:06.717805+00:00,study2_semantic,probe_skel_only,,none,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,0.019,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0.0,1,0,2,0,1,4,0,0,0.666667,-1,-1,1.09861,0.0,1.0,,,,,,,,0.666667,2,0,0.5,0,0,,,,,,,,,
cancer,shared,20260820T055901Z,2026-08-20T05:59:06.762192+00:00,study2_semantic,probe_random_edits,,none,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,0.092,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,32,0,0,0.857143,-1,-1,1.38804,0.76304,0.64916,,,,,2,4,,0.666667,2,0,0.5,0,1,,,,,,,,,
cancer,shared,20260820T055901Z,2026-08-20T05:59:06.883801+00:00,study2_semantic,probe_oracle_edits,,none,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,0.013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,4,0,0,36,0,1,1.0,1,1,0.00754,0.00754,0.99928,,,,,0,2,,0.666667,2,0,0.5,0,2,,,,,,,,,
cancer,named,20260820T055901Z,2026-08-20T05:59:01.107792+00:00,study2_semantic,probe,openai/gpt-5.4-mini,gpt-5.4-mini,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,7.345,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0.0,1,0,2,0,1,12,12,0,0.666667,-1,-1,2.18819,0.328,0.92198,,,0,,0,1,,0.666667,2,0,0.5,0,0,1,0,0,795,141,0,936,0.00123075,1.7643
cancer,named,20260820T055901Z,2026-08-20T05:59:01.107637+00:00,study2_semantic,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,7.9,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0.0,1,0,2,0,1,26,26,0,0.666667,-1,-1,2.48571,0.46397,0.89662,,,0,,2,2,,0.666667,2,0,0.5,0,0,1,0,0,805,116,0,921,0.00019035,2.246
cancer,anon,20260820T055901Z,2026-08-20T05:59:06.919185+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,2.092,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0.0,1,0,2,0,1,28,28,0,0.666667,-1,-1,2.51688,0.46397,0.89662,,,0,,1,2,,0.666667,2,0,0.5,0,0,1,0,0,1105,180,0,1285,0.00058646,1.9403
cancer,named,20260820T055901Z,2026-08-20T05:59:01.107467+00:00,study2_semantic,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,8.129,1.0,0.75,0.8571428571428571,0.8571428571428571,1.0,0.75,0.8571428571428571,1,0.0,1,0,3,0,1,46,46,0,0.857143,-1,-1,1.81945,0.0001,0.99999,,,0,,1,3,,0.666667,2,0,0.5,0,1,1,0,0,1201,209,0,1410,0.00065695,2.4595
cancer,named,20260820T055901Z,2026-08-20T05:59:01.155865+00:00,study2_semantic,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,-1,20260820,2654167437,5,4,60,60,1,0,4,0,success,,8.799,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,2,0.0,1,0,2,0,1,36,36,0,0.666667,-1,-1,1.11999,0.328,0.92198,,,0,,0,2,,0.666667,2,0,0.5,0,0,1,0,0,871,143,0,1014,0.0008645,3.1771
