arm,condition,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,shared,none,60,60,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005717,0.009167,0.003397,0.008036,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,60,60,0,0.633807,0.161889,0.592843,0.67477,0.741385,0.168806,0.698672,0.784099,0.718777,0.102088,0.692945,0.744609,4.566667,4.307529,3.476712,5.656622,0.348611,0.441623,0.236865,0.460357,1.683333,0.965361,1.439063,1.927603,1.683333,0.965361,1.439063,1.927603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.718777,0.102088,0.692945,0.744609,,,,,,,,,,,,,,,,,,,,,,,,,0.137067,0.715641,-0.044016,0.318149,,,,,,,,,,,,,,,,
probe,anon,claude-haiku-4.5,60,60,0,0.66994,0.204117,0.618291,0.721589,0.788782,0.19047,0.740586,0.836977,0.754681,0.114991,0.725584,0.783778,4.35,4.398863,3.236934,5.463066,0.344444,0.436523,0.233989,0.4549,1.7,1.013469,1.443557,1.956443,1.7,1.013469,1.443557,1.956443,42.733333,8.372406,40.614822,44.851844,0.016667,0.129099,-0.016,0.049333,0.732363,0.160835,0.691667,0.77306,-0.966667,0.258199,-1.032,-0.901333,2.055297,0.750188,1.865473,2.245121,0.357503,0.487918,0.234043,0.480963,0.825138,0.24377,0.763456,0.886821,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1717.683333,389.007189,1619.250934,1816.115733,274.116667,51.448869,261.098307,287.135027,1991.8,392.566514,1892.466967,2091.133033,0.003088,0.000467,0.00297,0.003206,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.160233,0.812755,3.954578,4.365889,1.45,0.746177,1.261191,1.638809,2.25,0.932011,2.014169,2.485831,0.116667,0.323732,0.034751,0.198582,0.8,0.988064,0.549985,1.050015
probe,anon,gemini-3-flash-preview,60,60,0,0.728029,0.201127,0.677137,0.778921,0.864216,0.163758,0.82278,0.905652,0.813843,0.117314,0.784159,0.843528,3.85,4.257894,2.772604,4.927396,0.365278,0.44708,0.252151,0.478405,1.6,0.977718,1.352603,1.847397,1.6,0.977718,1.352603,1.847397,43.266667,10.290471,40.662818,45.870515,0.116667,0.323732,0.034751,0.198582,0.773791,0.169095,0.731004,0.816578,-0.733333,0.778235,-0.930254,-0.536413,2.243587,0.681814,2.071065,2.41611,0.397896,0.452637,0.283363,0.512429,0.801236,0.235338,0.741687,0.860785,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1212.1,533.18492,1077.185601,1347.014399,169.3,39.410615,159.327738,179.272262,1381.4,547.510087,1242.860833,1519.939167,0.001114,0.000325,0.001032,0.001196,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.806833,4.71831,4.612936,7.000731,0.35,0.659353,0.183161,0.516839,2.583333,0.944057,2.344454,2.822213,0.166667,0.375823,0.07157,0.261763,1.5,1.096991,1.222423,1.777577
probe,anon,gpt-4o-mini-2024-07-18,60,60,0,0.685749,0.207905,0.633142,0.738356,0.814695,0.165239,0.772883,0.856506,0.765505,0.12464,0.733966,0.797043,4.366667,4.672192,3.184439,5.548894,0.35,0.44277,0.237964,0.462036,1.683333,0.982761,1.43466,1.932006,1.683333,0.982761,1.43466,1.932006,43.333333,7.712342,41.381841,45.284825,0.05,0.219784,-0.005613,0.105613,0.749966,0.171934,0.706461,0.793471,-0.9,0.439568,-1.011226,-0.788774,2.186932,0.852429,1.971238,2.402627,0.326096,0.452662,0.211557,0.440635,0.845179,0.225362,0.788155,0.902204,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1021.35,388.891856,922.946784,1119.753216,88.85,14.72554,85.123924,92.576076,1110.2,387.999423,1012.0226,1208.3774,0.000207,5.8e-05,0.000192,0.000221,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.61505,0.959382,2.372293,2.857807,2.966667,0.938204,2.729268,3.204065,2.816667,1.308274,2.485628,3.147706,0.116667,0.323732,0.034751,0.198582,0.75,0.750706,0.560045,0.939955
probe,anon,gpt-5.4-mini,60,60,0,0.647902,0.191905,0.599343,0.696461,0.754996,0.208985,0.702116,0.807877,0.745325,0.113389,0.716633,0.774016,4.45,4.252317,3.374015,5.525985,0.326389,0.413773,0.22169,0.431088,1.766667,1.125463,1.481885,2.051448,1.766667,1.125463,1.481885,2.051448,42.233333,11.592468,39.300034,45.166632,0.016667,0.129099,-0.016,0.049333,0.721807,0.159174,0.681531,0.762084,-0.966667,0.258199,-1.032,-0.901333,2.018207,0.901227,1.790165,2.246249,0.403526,0.464364,0.286025,0.521026,0.83103,0.217295,0.776047,0.886013,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1011.35,388.891856,912.946784,1109.753216,177.5,53.995763,163.837187,191.162813,1188.85,425.494521,1081.185031,1296.514969,0.001557,0.000485,0.001435,0.00168,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.850517,1.660078,2.430459,3.270574,1.866667,1.545542,1.475591,2.257743,2.416667,1.183097,2.117302,2.716031,0.2,0.403376,0.097932,0.302068,0.7,0.97945,0.452165,0.947835
probe,anon,qwen3-coder-30b-a3b-instruct,60,60,0,0.661946,0.198336,0.61176,0.712131,0.792803,0.180682,0.747084,0.838522,0.739959,0.123102,0.70881,0.771108,4.516667,4.393723,3.404901,5.628432,0.347222,0.425795,0.239481,0.454963,1.783333,1.121314,1.499602,2.067065,1.783333,1.121314,1.499602,2.067065,43.466667,7.956378,41.453425,45.479908,0.016667,0.129099,-0.016,0.049333,0.724991,0.161095,0.684228,0.765754,-0.966667,0.258199,-1.032,-0.901333,2.170492,0.883625,1.946904,2.39408,0.487909,0.516886,0.357119,0.618699,0.774839,0.242202,0.713554,0.836125,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1522.483333,528.146375,1388.843862,1656.122805,278.533333,99.730224,253.298105,303.768562,1801.016667,589.83751,1651.767184,1950.266149,0.000853,0.000265,0.000786,0.00092,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.643617,1.969425,3.145283,4.14195,2.283333,1.403285,1.928253,2.638413,3.05,1.170615,2.753794,3.346206,0.083333,0.278718,0.012808,0.153859,0.65,0.819777,0.442568,0.857432
probe,named,claude-haiku-4.5,60,60,0,0.69302,0.217603,0.637959,0.748081,0.812849,0.19143,0.76441,0.861287,0.787689,0.11982,0.75737,0.818007,4.166667,4.610845,2.999962,5.333371,0.344444,0.436523,0.233989,0.4549,1.716667,1.009978,1.461107,1.972226,1.716667,1.009978,1.461107,1.972226,41.9,9.91096,39.392181,44.407819,0.066667,0.251549,0.003016,0.130317,0.762291,0.167907,0.719805,0.804777,-0.833333,0.668078,-1.00238,-0.664286,2.031983,0.915668,1.800287,2.263679,0.376385,0.51158,0.246938,0.505833,0.819422,0.24619,0.757128,0.881717,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1834.483333,408.410706,1731.141166,1937.8255,380.05,90.811674,357.071476,403.028524,2214.533333,448.964363,2100.929675,2328.136991,0.003735,0.000711,0.003555,0.003915,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.231983,3.006594,5.47121,6.992757,1.466667,0.566484,1.323326,1.610007,1.966667,0.735692,1.780511,2.152822,0.1,0.302532,0.023449,0.176551,0.916667,0.743142,0.728626,1.104708
probe,named,gemini-3-flash-preview,60,60,0,0.764028,0.235855,0.704349,0.823708,0.904306,0.155528,0.864952,0.94366,0.848102,0.134534,0.81406,0.882143,3.583333,4.655202,2.405405,4.761262,0.448611,0.464384,0.331106,0.566116,1.516667,1.049482,1.251111,1.782222,1.516667,1.049482,1.251111,1.782222,43.866667,6.626773,42.189862,45.543472,0.283333,0.45442,0.168349,0.398317,0.809345,0.194026,0.76025,0.858441,-0.4,0.994902,-0.651745,-0.148255,1.947228,1.007771,1.692226,2.202229,0.385868,0.505698,0.257909,0.513827,0.803503,0.254431,0.739123,0.867883,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1312.666667,544.872638,1174.794867,1450.538467,182.133333,34.605509,173.376931,190.889735,1494.8,559.124521,1353.321976,1636.278024,0.001203,0.000327,0.00112,0.001285,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.8971,4.387474,4.786916,7.007284,0.35,0.546948,0.211603,0.488397,2.416667,0.84956,2.201698,2.631635,0.166667,0.375823,0.07157,0.261763,1.733333,1.071458,1.462217,2.00445
probe,named,gpt-4o-mini-2024-07-18,60,60,0,0.682009,0.209443,0.629012,0.735005,0.795944,0.183303,0.749562,0.842326,0.760601,0.112447,0.732148,0.789054,4.3,4.458091,3.171947,5.428053,0.366667,0.435371,0.256503,0.476831,1.716667,1.059128,1.44867,1.984663,1.716667,1.059128,1.44867,1.984663,41.066667,10.359417,38.445373,43.687961,0.033333,0.18102,-0.012471,0.079138,0.732735,0.16386,0.691273,0.774197,-0.933333,0.362041,-1.024942,-0.841724,2.160066,0.889954,1.934877,2.385256,0.241855,0.394396,0.142059,0.341651,0.885174,0.20571,0.833122,0.937225,,,,,,,,,0.718777,0.102088,0.692945,0.744609,1123.95,404.127494,1021.691635,1226.208365,115.766667,23.315352,109.867069,121.666265,1239.716667,404.642177,1137.328069,1342.105264,0.000238,6.2e-05,0.000222,0.000254,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0424,1.112815,2.760819,3.323981,2.866667,0.872687,2.645846,3.087487,2.4,1.498021,2.020948,2.779052,0.133333,0.342803,0.046592,0.220075,0.6,0.806751,0.395864,0.804136
