arm,condition,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,shared,none,60,60,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005733,0.009363,0.003364,0.008102,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,60,60,0,0.633807,0.161889,0.592843,0.67477,0.741385,0.168806,0.698672,0.784099,0.718777,0.102088,0.692945,0.744609,4.566667,4.307529,3.476712,5.656622,0.348611,0.441623,0.236865,0.460357,1.683333,0.965361,1.439063,1.927603,1.683333,0.965361,1.439063,1.927603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.718777,0.102088,0.692945,0.744609,,,,,,,,,,,,,,,,,,,,,,,,,0.072217,0.214307,0.01799,0.126444,,,,,,,,,,,,,,,,
probe,anon,claude-haiku-4.5,60,60,0,0.670486,0.205266,0.618547,0.722426,0.785806,0.19247,0.737104,0.834507,0.757432,0.110758,0.729407,0.785458,4.333333,4.382812,3.224329,5.442338,0.348611,0.441623,0.236865,0.460357,1.633333,0.956098,1.391407,1.87526,1.633333,0.956098,1.391407,1.87526,43.066667,8.376453,40.947132,45.186202,0.016667,0.129099,-0.016,0.049333,0.734448,0.157746,0.694532,0.774363,-0.966667,0.258199,-1.032,-0.901333,2.031545,0.714647,1.850714,2.212376,0.380547,0.486884,0.257348,0.503745,0.808479,0.248378,0.745631,0.871327,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698167,0.952331,0.457194,0.93914,1.45,0.746177,1.261191,1.638809,2.25,0.932011,2.014169,2.485831,0.116667,0.323732,0.034751,0.198582,0.8,0.988064,0.549985,1.050015
probe,anon,gemini-3-flash-preview,60,60,0,0.728525,0.204563,0.676763,0.780286,0.871118,0.152043,0.832646,0.90959,0.816693,0.116935,0.787104,0.846281,3.816667,4.21656,2.74973,4.883604,0.352778,0.433791,0.243013,0.462542,1.633333,0.973665,1.386962,1.879704,1.633333,0.973665,1.386962,1.879704,43.6,10.276186,40.999766,46.200234,0.116667,0.323732,0.034751,0.198582,0.772292,0.169046,0.729518,0.815067,-0.733333,0.778235,-0.930254,-0.536413,2.228343,0.700233,2.05116,2.405527,0.430441,0.451155,0.316283,0.544599,0.78968,0.233676,0.730552,0.848808,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717333,1.00183,0.463835,0.970831,0.35,0.659353,0.183161,0.516839,2.583333,0.944057,2.344454,2.822213,0.166667,0.375823,0.07157,0.261763,1.5,1.096991,1.222423,1.777577
probe,anon,gpt-4o-mini-2024-07-18,60,60,0,0.668886,0.243493,0.607274,0.730498,0.802618,0.20207,0.751487,0.853749,0.777142,0.135296,0.742908,0.811377,4.35,4.732953,3.152398,5.547602,0.380556,0.450822,0.266482,0.494629,1.666667,0.985775,1.417231,1.916102,1.666667,0.985775,1.417231,1.916102,45.666667,6.20734,44.095993,47.23734,0.1,0.302532,0.023449,0.176551,0.755198,0.180285,0.709579,0.800816,-0.8,0.605063,-0.953102,-0.646898,2.027722,0.962152,1.784265,2.27118,0.424183,0.578372,0.277835,0.570531,0.805661,0.265717,0.738425,0.872896,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861433,1.231132,0.549914,1.172953,2.966667,0.938204,2.729268,3.204065,2.816667,1.308274,2.485628,3.147706,0.116667,0.323732,0.034751,0.198582,0.75,0.750706,0.560045,0.939955
probe,anon,gpt-5.4-mini,60,60,0,0.654012,0.197865,0.603945,0.704079,0.781273,0.189972,0.733204,0.829343,0.750551,0.116793,0.720999,0.780104,4.383333,4.286722,3.298643,5.468024,0.348611,0.441623,0.236865,0.460357,1.666667,0.985775,1.417231,1.916102,1.666667,0.985775,1.417231,1.916102,42.4,11.602454,39.464174,45.335826,0.033333,0.18102,-0.012471,0.079138,0.726023,0.160638,0.685376,0.76667,-0.933333,0.362041,-1.024942,-0.841724,1.88198,0.889846,1.656818,2.107142,0.384993,0.429012,0.276438,0.493548,0.825765,0.214983,0.771367,0.880163,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808917,1.154564,0.516772,1.101062,1.866667,1.545542,1.475591,2.257743,2.416667,1.183097,2.117302,2.716031,0.2,0.403376,0.097932,0.302068,0.7,0.97945,0.452165,0.947835
probe,anon,qwen3-coder-30b-a3b-instruct,60,60,0,0.683614,0.206221,0.631433,0.735795,0.818528,0.163188,0.777236,0.85982,0.754518,0.13299,0.720867,0.788169,4.333333,4.519887,3.189644,5.477023,0.377778,0.447179,0.264626,0.49093,1.7,1.078291,1.427155,1.972845,1.7,1.078291,1.427155,1.972845,44.933333,7.405602,43.059458,46.807209,0.05,0.219784,-0.005613,0.105613,0.737785,0.170828,0.694559,0.78101,-0.9,0.439568,-1.011226,-0.788774,2.073337,0.920939,1.840307,2.306367,0.431361,0.489618,0.30747,0.555251,0.797151,0.236193,0.737385,0.856916,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895167,1.311855,0.563222,1.227112,2.283333,1.403285,1.928253,2.638413,3.05,1.170615,2.753794,3.346206,0.083333,0.278718,0.012808,0.153859,0.65,0.819777,0.442568,0.857432
probe,named,claude-haiku-4.5,60,60,0,0.695747,0.215822,0.641137,0.750358,0.820587,0.178723,0.775364,0.86581,0.790253,0.117697,0.760471,0.820034,4.133333,4.608271,2.96728,5.299387,0.334722,0.424777,0.227239,0.442206,1.733333,1.055521,1.46625,2.000417,1.733333,1.055521,1.46625,2.000417,42.066667,9.928331,39.554452,44.578881,0.066667,0.251549,0.003016,0.130317,0.763526,0.166349,0.721433,0.805618,-0.833333,0.668078,-1.00238,-0.664286,2.031983,0.915668,1.800287,2.263679,0.412044,0.511702,0.282565,0.541522,0.794351,0.252174,0.730542,0.858159,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850333,1.226038,0.540103,1.160564,1.466667,0.566484,1.323326,1.610007,1.966667,0.735692,1.780511,2.152822,0.1,0.302532,0.023449,0.176551,0.916667,0.743142,0.728626,1.104708
probe,named,gemini-3-flash-preview,60,60,0,0.767934,0.239374,0.707364,0.828504,0.909862,0.152826,0.871191,0.948532,0.848861,0.139256,0.813624,0.884097,3.533333,4.710129,2.341506,4.72516,0.448611,0.464384,0.331106,0.566116,1.55,1.064449,1.280657,1.819343,1.55,1.064449,1.280657,1.819343,43.866667,6.626773,42.189862,45.543472,0.283333,0.45442,0.168349,0.398317,0.811644,0.19475,0.762365,0.860922,-0.4,0.994902,-0.651745,-0.148255,1.947228,1.007771,1.692226,2.202229,0.374316,0.506476,0.24616,0.502472,0.811837,0.252503,0.747945,0.875729,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7573,1.108546,0.476799,1.037801,0.35,0.546948,0.211603,0.488397,2.416667,0.84956,2.201698,2.631635,0.166667,0.375823,0.07157,0.261763,1.733333,1.071458,1.462217,2.00445
probe,named,gpt-4o-mini-2024-07-18,60,60,0,0.671718,0.23452,0.612377,0.73106,0.784767,0.213718,0.730689,0.838845,0.769198,0.119943,0.738848,0.799547,4.35,4.580078,3.19108,5.50892,0.383333,0.440211,0.271945,0.494722,1.683333,1.0813,1.409727,1.95694,1.683333,1.0813,1.409727,1.95694,44.0,9.495762,41.597241,46.402759,0.05,0.219784,-0.005613,0.105613,0.740209,0.168916,0.697467,0.78295,-0.9,0.439568,-1.011226,-0.788774,2.070776,0.87592,1.849138,2.292415,0.261077,0.468727,0.142473,0.379681,0.880939,0.219642,0.825362,0.936517,,,,,,,,,0.718777,0.102088,0.692945,0.744609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864133,1.28179,0.539796,1.188471,2.866667,0.872687,2.645846,3.087487,2.4,1.498021,2.020948,2.779052,0.133333,0.342803,0.046592,0.220075,0.6,0.806751,0.395864,0.804136
