arm,condition,model_tag,graph,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,shared,none,asia,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008167,0.008032,0.003622,0.012711,,,,,,,,,,,,,,,,
oracle,shared,none,cancer,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001417,0.003825,-0.000747,0.003581,,,,,,,,,,,,,,,,
oracle,shared,none,earthquake,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00075,0.002301,-0.000552,0.002052,,,,,,,,,,,,,,,,
oracle,shared,none,sachs,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018167,0.011368,0.011734,0.024599,,,,,,,,,,,,,,,,
oracle,shared,none,survey,12,12,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000167,0.000389,-5.4e-05,0.000387,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,asia,12,12,0,0.715026,0.09156,0.663221,0.766831,0.627646,0.140103,0.548375,0.706916,0.783379,0.073116,0.74201,0.824748,3.5,1.087115,2.884907,4.115093,0.805556,0.171643,0.708439,0.902672,2.583333,0.514929,2.291985,2.874682,2.583333,0.514929,2.291985,2.874682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783379,0.073116,0.74201,0.824748,,,,,,,,,,,,,,,,,,,,,,,,,0.120917,0.089987,0.070002,0.171832,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,cancer,12,12,0,0.700397,0.105731,0.640574,0.76022,0.706349,0.094877,0.652668,0.760031,0.72123,0.085313,0.67296,0.769501,1.833333,0.57735,1.506667,2.16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72123,0.085313,0.67296,0.769501,,,,,,,,,,,,,,,,,,,,,,,,,0.14575,0.46998,-0.120166,0.411666,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,earthquake,12,12,0,0.700397,0.105731,0.640574,0.76022,0.706349,0.094877,0.652668,0.760031,0.72123,0.085313,0.67296,0.769501,1.833333,0.57735,1.506667,2.16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72123,0.085313,0.67296,0.769501,,,,,,,,,,,,,,,,,,,,,,,,,0.010833,0.004877,0.008074,0.013593,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,sachs,12,12,0,0.394965,0.082851,0.348087,0.441842,1.0,0.0,1.0,1.0,0.616529,0.084475,0.568733,0.664325,12.75,1.658312,11.811721,13.688279,0.9375,0.113067,0.873526,1.001474,2.833333,0.937437,2.302928,3.363738,2.833333,0.937437,2.302928,3.363738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616529,0.084475,0.568733,0.664326,,,,,,,,,,,,,,,,,,,,,,,,,0.070167,0.030656,0.052821,0.087512,,,,,,,,,,,,,,,,
pc_greedy_meek,shared,none,survey,12,12,0,0.658249,0.152354,0.572047,0.744451,0.666582,0.139102,0.587878,0.745287,0.751515,0.108261,0.690261,0.81277,2.916667,1.1645,2.257789,3.575545,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751515,0.108261,0.690261,0.81277,,,,,,,,,,,,,,,,,,,,,,,,,0.013417,0.004814,0.010693,0.01614,,,,,,,,,,,,,,,,
